name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Alex Oxlade-Chamberlain,MID,Liverpool,0.0,0,0,0,0,0.0,248,103,0,0,0.0,0.0,2020-12-06T19:15:00Z,0,20,0,0,0,0,11,0,1762,0,4,0.0,0,-9,41,50,63,True,0,11
Moussa Sissoko,MID,Spurs,2.7,0,0,7,1,0.9,385,106,0,0,0.6,4.8,2020-12-06T16:30:00Z,90,1,0,0,0,0,11,0,34749,0,2,0.0,3,199,2474,2275,48,True,0,11
Daniel James,MID,Man Utd,0.5,0,0,0,0,0.0,311,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,19,0,0,0,0,11,0,17450,3,1,0.0,0,-423,279,702,62,False,0,11
Marc Albrighton,MID,Leicester,2.8,1,0,22,0,6.8,221,105,1,0,4.4,12.6,2020-12-06T14:15:00Z,90,15,0,0,0,0,11,0,8745,2,1,25.0,5,-307,157,464,53,False,0,11
Conor Gallagher,MID,West Brom,5.5,0,1,32,0,8.8,544,107,5,1,7.0,42.4,2020-12-06T12:00:00Z,90,6,0,0,0,0,11,0,4015,5,1,19.0,7,1694,2137,443,55,True,1,11
Dwight McNeil,MID,Burnley,1.8,0,0,15,0,33.6,100,101,1,0,6.0,23.6,2020-12-05T12:30:00Z,90,7,0,0,0,0,11,0,30669,1,1,3.0,2,-1270,715,1985,58,True,0,11
Kalvin Phillips,MID,Leeds,3.5,1,2,29,0,15.5,204,102,3,0,5.3,37.4,2020-12-05T20:00:00Z,90,5,0,0,0,0,11,0,94635,1,3,0.0,7,159,3469,3310,49,False,0,11
Tom Cairney,MID,Fulham,0.2,0,0,3,0,3.3,175,104,0,0,0.4,0.4,2020-12-05T15:00:00Z,7,12,0,0,0,0,11,0,12290,0,2,0.0,1,-1324,274,1598,53,False,0,11
Grady Diangana,MID,West Brom,0.5,0,0,1,0,6.1,446,107,1,0,1.1,4.6,2020-12-06T12:00:00Z,45,6,0,0,0,0,11,0,23367,5,1,0.0,1,-3278,338,3616,53,True,0,11
Pascal Groß,MID,Brighton,7.7,0,2,27,0,41.0,57,100,2,1,10.9,37.2,2020-12-07T20:00:00Z,90,16,0,0,0,0,11,0,18795,2,1,31.0,8,7893,9192,1299,58,True,1,11
Pedro Lomba Neto,MID,Wolves,6.0,0,0,11,0,33.2,474,103,4,0,5.1,12.2,2020-12-06T19:15:00Z,78,11,0,0,0,0,11,0,306608,0,4,6.0,2,130071,144362,14291,56,False,0,11
Thiago Alcántara do Nascimento,MID,Liverpool,0.0,0,0,0,0,0.0,531,103,0,0,0.0,0.0,2020-12-06T19:15:00Z,0,20,0,0,0,0,11,0,69024,0,4,0.0,0,-12073,514,12587,58,True,0,11
Tommy Doyle,MID,Man City,1.5,0,0,0,0,0.0,285,104,0,0,0.0,0.0,2020-12-05T15:00:00Z,0,8,0,0,0,0,11,0,7383,0,2,0.0,0,-265,222,487,44,True,0,11
Jack Wilshere,MID,West Ham,0.0,0,0,0,0,0.0,434,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,13,0,0,0,0,11,0,4193,3,1,0.0,0,-68,35,103,49,True,0,11
Adama Traoré,MID,Wolves,0.3,0,0,10,0,43.5,465,103,4,0,6.9,13.0,2020-12-06T19:15:00Z,90,11,0,0,0,0,11,0,480840,0,4,12.0,2,-23593,5119,28712,62,False,0,11
Callum Hudson-Odoi,MID,Chelsea,0.8,0,0,0,0,0.0,122,102,0,0,0.0,0.0,2020-12-05T20:00:00Z,0,10,0,0,0,0,11,0,19172,1,3,0.0,0,-766,468,1234,57,True,0,11
Tom Davies,MID,Everton,1.8,0,0,0,0,0.0,163,101,0,0,0.0,0.0,2020-12-05T12:30:00Z,0,4,0,0,0,0,11,0,6937,1,1,0.0,0,-101,113,214,53,False,0,11
Hamza Choudhury,MID,Leicester,0.5,0,0,0,0,0.0,234,105,0,0,0.0,0.0,2020-12-06T14:15:00Z,0,15,0,0,0,0,11,0,4464,2,1,0.0,0,-157,59,216,48,False,0,11
Tahith Chong,MID,Man Utd,0.0,0,0,0,0,0.0,316,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,19,0,0,0,0,11,0,971,3,1,0.0,0,0,36,36,45,False,0,11
Matheus Pereira,MID,West Brom,0.2,0,0,-4,0,23.1,481,107,5,0,4.6,3.4,2020-12-06T12:00:00Z,33,6,0,0,0,1,11,0,92595,5,1,19.0,-2,-8799,3549,12348,57,True,0,11
Oliver Skipp,MID,Spurs,0.0,0,0,0,0,0.0,404,106,0,0,0.0,0.0,2020-12-06T16:30:00Z,0,1,0,0,0,0,11,0,1938,0,2,0.0,0,25,145,120,44,True,0,11
Saïd Benrahma,MID,West Ham,1.2,0,0,3,0,11.3,587,108,1,0,2.7,4.8,2020-12-05T17:30:00Z,15,13,0,0,0,0,11,0,16296,3,1,11.0,1,139,2701,2562,60,True,0,11
Jean-Philippe Gbamin,MID,Everton,0.0,0,0,0,0,0.0,161,101,0,0,0.0,0.0,2020-12-05T12:30:00Z,0,4,0,0,0,0,11,0,177,1,1,0.0,0,18,38,20,50,False,0,11
James Maddison,MID,Leicester,3.2,1,0,21,0,47.4,231,105,1,0,8.5,24.4,2020-12-06T14:15:00Z,90,15,0,0,0,0,11,0,205527,2,1,13.0,4,-6665,16465,23130,70,False,1,11
Adrien Silva,MID,Leicester,0.0,0,0,0,0,0.0,220,105,0,0,0.0,0.0,2020-12-06T14:15:00Z,0,15,0,0,0,0,11,0,20637,2,1,0.0,0,-790,20,810,44,False,0,11
Aaron Mooy,MID,Brighton,0.0,0,0,0,0,0.0,60,100,0,0,0.0,0.0,2020-12-07T20:00:00Z,0,16,0,0,0,0,11,0,923,2,1,0.0,0,-53,12,65,50,True,0,11
Jay-Roy Grot,MID,Leeds,0.0,0,0,0,0,0.0,207,102,0,0,0.0,0.0,2020-12-05T20:00:00Z,0,5,0,0,0,0,11,0,1698,1,3,0.0,0,39,115,76,47,False,0,11
Demarai Gray,MID,Leicester,0.5,0,0,0,0,0.0,230,105,0,0,0.0,0.0,2020-12-06T14:15:00Z,0,15,0,0,0,0,11,0,6009,2,1,0.0,0,-145,116,261,52,False,0,11
James Milner,MID,Liverpool,0.0,0,0,0,0,0.0,241,103,0,0,0.0,0.0,2020-12-06T19:15:00Z,0,20,0,0,0,0,11,0,14048,0,4,0.0,0,-6640,603,7243,53,True,0,11
Fabio Henrique Tavares,MID,Liverpool,3.7,0,0,15,1,0.2,253,103,0,0,1.8,17.4,2020-12-06T19:15:00Z,90,20,0,0,0,0,11,0,70562,0,4,0.0,3,905,3563,2658,54,True,0,11
Nathan Redmond,MID,Southampton,0.1,0,0,0,0,1.4,365,100,0,0,0.5,0.0,2020-12-07T20:00:00Z,21,3,0,0,0,0,11,0,13418,2,1,4.0,1,-1330,35,1365,64,False,0,11
André-Frank Zambo Anguissa,MID,Fulham,1.8,0,0,21,0,23.3,191,104,2,0,5.5,27.4,2020-12-05T15:00:00Z,90,12,0,0,0,0,11,0,137107,0,2,4.0,2,1072,10699,9627,45,False,0,11
Ian Carlo Poveda-Ocampo,MID,Leeds,0.5,0,0,-1,0,0.4,209,102,2,0,1.3,4.0,2020-12-05T20:00:00Z,33,5,0,0,0,0,11,0,29508,1,3,9.0,1,-1397,1257,2654,44,False,0,11
Mason Greenwood,MID,Man Utd,3.2,0,0,28,0,13.7,315,108,1,1,8.7,32.6,2020-12-05T17:30:00Z,90,19,0,0,0,0,11,0,162244,3,1,41.0,7,-6701,2239,8940,71,False,0,11
Andriy Yarmolenko,MID,West Ham,-0.5,0,0,0,0,0.0,436,108,0,0,0.0,0.0,2020-12-05T17:30:00Z,0,13,0,0,0,0,11,0,5596,3,1,0.0,0,-327,45,372,56,True,0,11
Ilkay Gündogan,MID,Man City,3.5,0,0,16,1,8.8,271,104,0,0,2.7,14.2,2020-12-05T15:00:00Z,90,8,0,0,0,0,11,0,20865,0,2,4.0,3,350,1829,1479,54,True,0,11
Billy Gilmour,MID,Chelsea,0.5,0,0,0,0,0.0,124,102,0,0,0.0,0.0,2020-12-05T20:00:00Z,0,10,0,0,0,0,11,0,7461,1,3,0.0,0,-72,413,485,44,True,0,11
Mesut Özil,MID,Arsenal,0.0,0,0,0,0,0.0,1,106,0,0,0.0,0.0,2020-12-06T16:30:00Z,0,17,0,0,0,0,11,0,44303,0,2,0.0,0,-498,19,517,68,False,0,11
