,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Max Thompson,-1.0,0,0,0,0,0.0,591,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,1,0,0
1,Jamie Vardy,3.8,0,0,7,0,3.1,224,2,0,3.1,4.2,90,0,0,0,0,1,2,24.0,2,102,0,0,13
2,Tammy Abraham,0.3,0,0,0,0,0.0,118,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,71,1,0,0
3,Glenn Murray,0.0,0,0,0,0,0.0,53,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,48,1,0,0
4,Yoshinori Muto,0.0,0,0,0,0,0.0,341,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,48,1,0,0
5,Timo Werner,3.5,1,0,11,0,12.0,117,1,0,7.3,1.6,90,0,0,0,0,1,2,59.0,5,92,1,0,1
6,Olivier Giroud,0.5,0,0,2,0,0.1,103,0,0,0.0,0.0,1,0,0,0,0,1,2,0.0,1,67,1,0,0
7,Joel Mumbongo,-1.0,0,0,0,0,0.0,613,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,1,0,0
8,Karlan Grant,-0.5,0,0,2,0,0.3,582,1,0,0.0,0.0,5,0,0,0,0,3,1,0.0,1,56,1,0,1
9,Willian José Da Silva,1.0,0,0,2,0,0.6,642,0,0,0.1,0.6,22,0,0,0,0,0,1,0.0,1,68,0,0,2
10,Christian Benteke,4.8,0,1,27,0,11.8,132,1,1,11.8,38.6,78,0,0,0,0,3,1,68.0,6,55,1,1,0
11,Bobby Decordova-Reid,3.0,1,0,18,0,16.3,181,1,0,3.7,20.8,90,0,0,0,0,1,1,0.0,5,53,0,0,2
12,Matej Vydra,1.4,0,0,4,0,0.4,93,1,0,0.5,2.4,14,0,0,0,0,3,0,2.0,1,48,1,0,1
13,Jordan Ayew,0.5,0,0,2,0,1.5,140,2,0,3.7,2.2,11,0,0,0,0,3,1,33.0,1,56,1,0,1
14,Odion Ighalo,0.0,0,0,0,0,0.0,293,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,61,1,0,0
15,Danny Welbeck,3.7,0,0,2,0,0.3,588,1,0,0.0,0.0,28,0,0,0,0,2,3,0.0,1,55,1,0,0
16,Rhian Brewster,0.8,0,0,2,0,1.5,262,0,0,1.4,0.0,23,0,0,0,0,0,1,14.0,1,42,0,0,1
17,Cheikh Diaby,-1.0,0,0,0,0,0.0,621,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,1,0,0
18,Patrick Bamford,4.8,1,3,43,1,10.8,202,0,1,15.3,51.0,90,0,0,0,0,2,0,91.0,12,65,0,0,6
19,Jean-Philippe Mateta,-0.2,0,0,0,0,0.0,641,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,53,1,0,0
20,Raúl Jiménez,0.0,0,0,0,0,0.0,460,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,81,0,0,0
21,Shane Long,0.0,0,0,0,0,0.0,361,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,51,1,0,0
22,Kelechi Iheanacho,6.3,0,1,27,0,13.6,233,1,1,7.7,38.4,30,0,0,0,0,1,2,25.0,6,62,0,0,2
23,Fabio Silva,3.6,0,0,8,0,3.2,504,1,0,5.3,8.2,90,0,0,0,0,0,1,42.0,2,52,0,0,5
24,Edward Nketiah,0.9,0,0,0,0,0.0,22,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,53,0,0,0
25,Alexandre Lacazette,0.9,0,0,0,0,0.0,6,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,84,0,0,1
