,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Connolly,1.3,0,0,0,0,1.1,78,1,0,3.8,1.4,63,0,0,0,0,2,1,35.0,2,53,1,0,1
1,Raúl Jiménez,0.0,0,0,0,0,0.0,460,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,83,0,0,0
2,Neal Maupay,0.5,0,0,3,0,10.4,68,1,0,1.9,2.4,26,0,0,0,0,2,1,6.0,1,62,1,0,2
3,Moise Kean,0.0,0,0,0,0,0.0,169,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,58,0,0,0
4,Shane Long,0.7,0,0,0,0,0.0,361,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,52,0,0,0
5,Jamie Vardy,5.5,0,3,28,0,1.8,224,1,1,5.8,31.6,90,0,0,0,0,2,1,25.0,8,103,0,1,13
6,Léo Bonatini,0.0,0,0,0,0,0.0,463,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,48,0,0,0
7,Kelechi Iheanacho,1.2,0,0,4,0,1.9,233,0,0,2.3,1.4,21,0,0,0,0,2,1,20.0,1,56,0,0,0
8,Gabriel Fernando de Jesus,4.5,0,0,7,1,21.9,282,0,0,3.4,4.0,90,0,0,0,0,0,2,8.0,2,94,1,0,2
9,Kenneth Zohore,0.0,0,0,0,0,0.0,416,0,0,0.0,0.0,0,0,0,0,0,5,1,0.0,0,48,1,0,0
10,Richarlison de Andrade,5.2,1,2,29,0,33.1,166,1,0,8.9,29.6,90,0,0,0,0,1,1,26.0,7,78,0,0,1
11,Danny Welbeck,6.3,1,0,18,0,11.4,588,2,0,4.2,6.0,81,0,0,0,0,2,1,25.0,5,55,1,0,2
12,Edward Nketiah,0.3,0,0,2,0,10.8,22,0,0,1.7,2.2,15,0,0,0,0,0,2,4.0,1,55,0,0,1
13,Timo Werner,4.5,1,0,9,0,33.2,117,1,0,19.0,42.8,90,0,0,0,0,1,3,114.0,5,95,1,0,2
14,Roberto Firmino,4.3,0,0,9,1,3.4,249,0,0,0.9,1.8,72,0,0,0,0,0,4,4.0,2,92,1,0,2
15,Che Adams,3.7,0,0,8,0,12.7,377,1,0,1.8,5.0,90,0,0,0,0,2,1,0.0,2,60,0,0,8
16,Hal Robson-Kanu,0.2,0,0,0,0,0.0,408,0,0,0.0,0.0,0,0,0,0,0,5,1,0.0,0,52,1,0,0
17,Andi Zeqiri,0.0,0,0,0,0,0.0,574,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,50,1,0,0
18,Carlos Vinicius Alves Morais,0.0,0,0,0,0,0.0,564,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,70,1,0,0
19,Christian Benteke,5.5,0,3,50,0,45.1,132,1,2,22.1,83.0,90,0,0,0,0,5,1,93.0,13,55,0,0,2
20,Charlie Austin,-0.5,0,0,0,0,0.0,415,0,0,0.0,0.0,0,0,0,0,0,5,1,0.0,0,51,1,0,1
21,Ashley Barnes,0.5,0,0,5,0,10.3,87,0,0,2.0,4.0,15,0,0,0,0,1,1,6.0,1,60,1,0,1
22,Albian Ajeti,0.0,0,0,0,0,0.0,447,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,55,1,0,0
23,Danny Ings,1.4,0,3,31,0,10.3,366,0,1,8.8,39.4,45,0,0,0,0,2,1,38.0,8,83,0,0,5
24,Bobby Decordova-Reid,2.2,0,0,5,0,1.8,181,2,0,1.0,8.0,70,0,0,0,0,0,2,0.0,2,53,0,0,9
25,Michy Batshuayi,1.8,0,0,3,0,0.2,108,0,0,0.0,0.2,9,0,0,0,0,5,1,0.0,1,58,0,0,0
26,Harry Kane,4.5,1,3,39,1,11.2,388,0,1,11.1,62.6,90,0,0,0,0,0,2,37.0,12,109,1,0,9
27,Edinson Cavani,5.8,0,0,2,0,1.4,569,1,0,0.0,0.0,45,0,0,0,0,3,1,0.0,1,81,0,0,0
28,Florin Andone,0.0,0,0,0,0,0.0,64,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,48,1,0,0
29,Fabio Silva,-0.3,0,0,1,0,1.4,504,2,0,0.2,1.0,28,0,0,0,0,0,4,0.0,1,52,0,0,2
30,Chris Wood,3.5,0,0,1,0,14.9,91,1,0,8.3,9.8,90,0,0,0,0,1,1,58.0,2,62,1,0,2
31,Connor Wickham,0.0,0,0,0,0,0.0,136,0,0,0.0,0.0,0,0,0,0,0,5,1,0.0,0,45,0,0,0
32,Glenn Murray,0.0,0,0,0,0,0.0,53,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,48,1,0,0
33,Lys Mousset,-0.2,0,0,0,0,0.0,359,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,58,1,0,1
34,Max Thompson,-0.5,0,0,0,0,0.0,591,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
35,Michael Obafemi,0.0,0,0,0,0,0.0,381,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,47,0,0,0
36,Dominic Calvert-Lewin,7.5,0,0,22,0,5.3,164,1,1,15.5,44.6,90,0,0,0,0,1,1,105.0,6,80,0,0,5
37,David McGoldrick,0.2,0,0,0,0,0.0,344,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,53,1,0,1
38,Daniel N'Lundulu,0.3,0,0,0,0,0.0,590,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,0,0,1
39,Aleksandar Mitrović,-0.8,0,0,0,0,0.0,184,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,56,0,0,0
40,Anthony Martial,1.8,0,0,0,0,4.3,303,1,0,3.2,0.2,61,0,0,0,0,3,1,27.0,2,87,0,0,1
41,Jay Rodriguez,2.2,0,0,8,0,2.8,86,1,0,1.0,5.6,74,0,0,0,0,1,1,2.0,2,58,1,0,1
42,Ellis Simms,0.5,0,0,0,0,0.0,596,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,0,0,0
