,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Max Thompson,0.0,0,0,0,0,0.0,591,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,45,0,0,0
1,Jamie Vardy,7.0,0,0,7,0,1.5,224,2,0,0.6,4.2,90,0,0,0,0,2,0,0.0,2,101,1,0,2
2,Tammy Abraham,1.0,0,0,0,0,0.0,118,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,71,1,0,0
3,Glenn Murray,0.0,0,0,0,0,0.0,53,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,48,0,0,0
4,Yoshinori Muto,0.0,0,0,0,0,0.0,341,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,48,1,0,0
5,Timo Werner,3.7,1,0,29,0,23.6,117,5,0,6.5,23.0,90,0,0,0,0,5,2,18.0,5,92,1,0,0
6,Olivier Giroud,1.0,0,0,0,0,0.0,103,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,67,1,0,0
7,Joel Mumbongo,0.0,0,0,0,0,0.0,613,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,45,0,0,1
8,Karlan Grant,-1.0,0,0,0,0,0.0,582,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,57,0,0,0
9,Willian José Da Silva,1.5,0,0,10,0,32.7,642,3,0,7.3,7.6,71,0,0,0,0,3,2,33.0,2,68,1,0,2
10,Christian Benteke,1.5,0,0,5,0,13.8,132,1,0,4.3,3.2,76,0,0,0,0,1,1,26.0,2,55,0,0,8
11,Bobby Decordova-Reid,0.2,0,0,-1,0,0.6,181,3,0,4.2,8.6,90,0,0,0,0,1,3,33.0,1,53,0,1,2
12,Matej Vydra,5.5,0,0,33,0,12.0,93,3,1,6.6,39.0,77,0,0,0,0,2,3,15.0,6,48,0,0,7
13,Jordan Ayew,1.5,0,0,9,0,13.3,140,1,0,4.6,11.6,83,0,0,0,0,1,1,21.0,2,56,0,0,2
14,Odion Ighalo,0.0,0,0,0,0,0.0,293,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,61,1,0,0
15,Danny Welbeck,6.2,0,3,30,0,12.7,588,2,1,11.9,50.0,90,0,0,0,0,1,2,56.0,9,55,0,0,2
16,Rhian Brewster,0.0,0,0,2,0,11.0,262,0,0,1.1,0.0,17,0,0,0,0,1,2,1.0,1,43,0,0,1
17,Cheikh Diaby,-1.0,0,0,0,0,0.0,621,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,45,0,0,0
18,Patrick Bamford,4.5,0,0,4,0,31.6,202,1,0,8.8,8.6,64,0,0,0,0,1,2,48.0,2,67,1,0,4
19,Jean-Philippe Mateta,0.0,0,0,5,0,0.1,641,0,0,2.2,5.2,13,0,0,0,0,1,1,17.0,1,55,0,0,0
20,Raúl Jiménez,0.0,0,0,0,0,0.0,460,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,81,1,0,0
21,Shane Long,0.0,0,0,0,0,0.0,361,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,51,1,0,0
22,Kelechi Iheanacho,9.0,0,0,10,0,12.0,233,1,0,2.0,5.8,71,0,0,0,0,2,0,2.0,2,57,1,0,13
23,Fabio Silva,3.0,0,1,25,0,11.7,504,0,1,6.6,35.2,45,0,0,0,0,3,2,19.0,6,52,1,0,4
24,Edward Nketiah,0.0,0,0,0,0,0.0,22,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,54,1,0,1
25,Alexandre Lacazette,7.0,0,0,0,0,0.6,6,3,0,1.3,10.2,90,0,0,0,0,3,0,2.0,2,82,1,0,13
26,Joelinton Cássio Apolinário de Lira,2.8,0,0,22,0,15.1,340,2,1,8.9,39.4,90,0,0,0,0,2,2,34.0,6,57,1,0,1
27,Islam Slimani,0.0,0,0,0,0,0.0,579,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,49,1,0,0
28,Albian Ajeti,0.0,0,0,0,0,0.0,447,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,55,0,0,0
29,Aaron Connolly,-0.4,0,0,0,0,0.0,78,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,52,0,0,0
30,Josh Maja,0.7,0,0,3,0,12.4,665,1,0,1.7,3.0,7,0,0,0,0,1,3,2.0,1,55,0,0,1
31,Dane Scarlett,0.5,0,0,0,0,0.0,666,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,45,0,0,0
32,Roberto Firmino,1.0,0,0,16,1,18.5,249,0,0,3.7,7.0,77,0,0,0,0,3,0,11.0,2,90,0,0,2
33,Carlos Vinicius Alves Morais,2.5,0,0,1,0,1.0,564,1,0,0.5,2.0,45,0,0,0,0,2,2,2.0,1,69,0,0,0
34,Harry Kane,7.8,0,3,50,0,4.9,388,2,2,20.9,78.2,90,0,0,0,0,2,2,126.0,13,116,0,0,2
35,Niall Huggins,0.5,0,0,0,0,0.0,619,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,45,1,0,0
36,Kenneth Zohore,0.0,0,0,0,0,0.0,416,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,48,0,0,0
37,Gabriel Fernando de Jesus,5.5,0,2,37,1,37.3,282,0,1,14.1,48.6,90,0,0,0,0,2,0,55.0,8,92,0,0,2
38,Florin Andone,-0.1,0,0,0,0,0.0,64,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,48,0,0,0
39,Callum Wilson,-0.1,0,0,0,0,0.0,506,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,65,1,0,1
40,Chris Wood,9.0,1,1,34,0,13.3,91,3,1,16.0,58.4,90,0,0,0,0,2,3,88.0,10,62,0,0,5
41,Joe Gelhardt,0.5,0,0,0,0,0.0,667,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,45,1,0,0
