,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Connolly,0.8,0,0,0,0,0.0,78,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,52,1,0,0
1,Raúl Jiménez,0.0,0,0,0,0,0.0,460,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,82,0,0,0
2,Jean-Philippe Mateta,1.1,0,0,2,0,0.8,641,0,0,2.8,1.0,14,0,0,0,0,3,0,26.0,1,59,1,0,8
3,Neal Maupay,1.8,0,0,8,1,22.2,68,0,0,7.0,2.4,79,0,0,0,0,0,0,45.0,2,61,1,0,2
4,Moise Kean,0.0,0,0,0,0,0.0,169,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,57,1,0,0
5,Niall Huggins,-0.3,0,0,4,0,0.9,619,0,0,0.6,2.6,37,0,0,0,0,2,4,2.0,1,45,0,0,0
6,Shane Long,0.0,0,0,0,0,0.0,361,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,51,1,0,0
7,Jamie Vardy,1.0,0,0,25,0,2.3,224,1,1,11.2,48.4,90,0,0,0,0,1,3,61.0,6,100,1,0,5
8,Léo Bonatini,0.0,0,0,0,0,0.0,463,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,48,0,0,0
9,Kelechi Iheanacho,1.0,0,0,0,0,0.0,233,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,56,1,0,0
10,Gabriel Fernando de Jesus,11.3,0,0,14,1,9.5,282,0,0,5.3,1.8,78,0,0,0,0,0,3,42.0,2,92,1,0,1
11,Kenneth Zohore,0.0,0,0,0,0,0.0,416,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,48,1,0,0
12,Richarlison de Andrade,4.5,0,0,6,0,0.7,166,2,0,0.7,4.6,90,0,0,0,0,2,0,2.0,2,79,1,0,8
13,Danny Welbeck,0.4,0,0,-1,0,0.0,588,0,0,3.5,2.0,10,0,0,0,0,0,0,33.0,1,55,1,0,1
14,Edward Nketiah,0.7,0,0,0,0,0.0,22,0,0,0.0,0.0,0,0,0,0,0,2,4,0.0,0,54,1,0,0
15,Timo Werner,3.4,0,0,20,1,29.7,117,0,1,12.1,32.6,90,0,0,0,0,0,2,59.0,6,92,1,0,2
16,Ollie Watkins,4.7,0,0,5,1,2.8,514,0,0,0.9,4.0,90,0,0,0,0,0,0,2.0,2,64,0,0,2
17,Roberto Firmino,4.0,1,0,21,0,26.2,249,3,0,18.4,33.4,90,0,0,0,0,1,3,124.0,5,93,0,0,2
18,Dane Scarlett,0.0,0,0,0,0,0.0,666,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,45,0,0,0
19,Che Adams,2.2,0,0,-2,0,0.2,377,0,0,0.5,0.0,21,0,0,0,0,2,1,6.0,1,58,1,0,1
20,Hal Robson-Kanu,-0.7,0,0,0,0,0.0,408,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,52,1,0,0
21,Andi Zeqiri,0.2,0,0,0,0,0.0,574,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,50,1,0,0
22,Carlos Vinicius Alves Morais,0.1,0,0,0,0,0.0,564,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,69,0,0,0
23,Christian Benteke,2.3,0,0,5,0,5.1,132,3,0,9.4,17.4,75,0,0,0,0,3,0,71.0,2,55,1,0,8
24,Joshua King,1.5,0,0,2,0,0.0,651,1,0,0.4,2.0,34,0,0,0,0,2,0,2.0,1,55,1,0,0
25,Cheikh Diaby,-1.0,0,0,0,0,0.0,621,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
26,Charlie Austin,0.0,0,0,0,0,0.0,415,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,51,1,0,0
27,Ashley Barnes,5.3,0,0,5,1,33.6,87,0,0,11.7,12.6,90,0,0,0,0,3,0,71.0,2,60,0,0,0
28,Albian Ajeti,0.0,0,0,0,0,0.0,447,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,55,1,0,0
29,Danny Ings,3.2,0,2,32,0,21.2,366,2,1,8.9,42.0,90,0,0,0,0,2,1,26.0,8,84,1,0,2
30,Bobby Decordova-Reid,4.1,0,0,6,1,24.3,181,0,0,6.2,5.8,90,0,0,0,0,2,0,32.0,2,53,0,0,1
31,Michy Batshuayi,3.1,0,0,3,0,2.0,108,3,0,0.5,1.4,61,0,0,0,0,3,0,2.0,2,57,1,0,0
32,Ademipo Odubeko,0.0,0,0,0,0,0.0,638,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,45,1,0,0
33,Harry Kane,1.7,0,0,2,0,13.3,388,3,0,3.6,14.2,90,0,0,0,0,0,3,8.0,2,110,0,0,2
34,Edinson Cavani,5.2,0,0,6,0,3.3,569,1,0,0.8,1.0,90,0,0,0,0,1,1,4.0,2,80,0,0,0
35,Florin Andone,0.0,0,0,0,0,0.0,64,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,48,1,0,0
36,Fabio Silva,0.8,0,0,3,0,0.3,504,0,0,0.0,0.0,1,0,0,0,0,2,1,0.0,1,52,0,0,1
37,Chris Wood,1.4,0,0,0,0,0.0,91,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,62,0,0,0
38,Connor Wickham,0.0,0,0,0,0,0.0,136,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,44,1,0,0
39,Glenn Murray,0.0,0,0,0,0,0.0,53,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,48,1,0,0
40,Patrick Cutrone,0.0,0,0,0,0,0.0,626,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,59,0,0,0
41,Mbwana Samatta,0.0,0,0,0,0,0.0,49,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,59,0,0,0
42,Lys Mousset,0.0,0,0,0,0,0.0,359,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,58,0,0,0
43,Joel Mumbongo,-0.3,0,0,0,0,0.0,613,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,0,0,1
44,Max Thompson,-0.5,0,0,0,0,0.0,591,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,0,0,0
45,Michael Obafemi,0.0,0,0,0,0,0.0,381,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,46,1,0,0
46,Dominic Calvert-Lewin,4.0,0,0,0,0,0.0,164,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,77,1,0,4
47,David McGoldrick,1.4,0,0,3,0,16.5,344,3,0,11.3,15.0,90,0,0,0,0,0,3,81.0,2,52,0,0,0
48,Yoshinori Muto,0.0,0,0,0,0,0.0,341,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,48,0,0,0
49,Antwoine Hackford,0.0,0,0,0,0,0.0,618,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,44,0,0,0
50,Daniel N'Lundulu,0.4,0,0,0,0,0.0,590,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,1,0,1
51,Aleksandar Mitrović,2.9,0,0,0,0,0.0,184,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,55,0,0,0
52,Anthony Martial,4.3,0,0,3,0,5.8,303,1,0,1.4,0.6,65,0,0,0,0,1,1,8.0,2,87,0,0,2
53,Jay Rodriguez,5.5,1,2,42,1,14.8,86,0,1,11.4,48.2,90,0,0,0,0,3,0,51.0,11,58,0,0,2
54,Joelinton Cássio Apolinário de Lira,-0.2,0,0,7,0,0.8,340,0,0,0.7,6.2,26,0,0,0,0,0,2,0.0,1,57,0,0,0
55,Ellis Simms,0.0,0,0,0,0,0.0,596,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,45,1,0,0
56,Patrick Bamford,5.3,0,0,6,0,11.3,202,4,0,4.0,5.8,90,0,0,0,0,2,4,23.0,2,68,0,0,2
57,Karlan Grant,0.2,0,0,0,0,0.0,582,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,57,1,0,0
58,Callum Robinson,0.0,0,0,0,0,0.0,358,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,54,1,0,0
59,Oliver McBurnie,1.0,0,0,4,0,1.1,357,1,0,2.5,4.4,28,0,0,0,0,0,3,19.0,1,56,0,0,2
60,Sergio Agüero,1.1,0,0,0,0,0.0,268,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,103,1,0,0
61,Jordan Ayew,3.3,0,0,15,0,30.7,140,3,0,8.3,18.0,90,0,0,0,0,3,0,34.0,2,56,1,0,5
62,Michail Antonio,3.2,0,0,0,0,0.0,437,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,67,1,0,7
63,Callum Wilson,0.0,0,0,0,0,0.0,506,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,67,0,0,0
