,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Connolly,2.7,0,0,2,0,12.1,78,2,0,1.9,0.0,73,0,0,0,0,3,2,8.0,2,55,1,0,2
1,Albian Ajeti,0.0,0,0,0,0,0.0,447,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,55,1,0,0
2,Aleksandar Mitrović,5.0,0,0,-1,0,12.1,184,3,0,5.7,0.0,90,0,0,0,0,3,0,52.0,2,60,1,0,2
3,Alexandre Lacazette,6.5,0,1,22,0,11.4,6,2,1,10.7,40.4,73,0,0,0,0,1,3,55.0,7,85,0,0,0
4,Andy Carroll,1.8,1,0,11,0,1.8,320,0,0,2.3,0.0,13,0,0,0,0,1,1,22.0,4,55,0,0,0
5,Anthony Martial,3.0,0,0,6,0,3.8,303,1,0,3.3,1.6,89,0,0,0,0,3,2,28.0,2,90,0,0,1
6,Ashley Barnes,0.0,0,0,0,0,0.0,87,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,60,1,0,1
7,Billy Sharp,1.5,0,0,1,0,0.1,343,1,0,2.1,2.0,16,0,0,0,0,1,0,19.0,1,59,1,0,1
8,Bobby Decordova-Reid,2.3,0,0,2,0,9.9,181,3,0,4.0,2.0,77,0,0,0,0,3,0,28.0,1,55,1,1,2
9,Callum Robinson,4.3,0,3,54,0,4.0,358,1,2,10.3,64.0,65,0,0,0,0,3,3,35.0,13,55,1,0,1
10,Callum Wilson,5.5,0,2,29,0,2.4,506,1,1,5.5,33.2,90,0,0,0,0,1,1,19.0,8,65,0,0,16
11,Cenk Tosun,0.0,0,0,0,0,0.0,153,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,60,0,0,0
12,Charlie Austin,-1.0,0,0,0,0,0.0,415,0,0,0.0,0.0,0,0,0,0,0,3,3,0.0,0,54,1,0,0
13,Che Adams,2.7,1,0,18,1,11.3,377,0,0,4.2,22.8,76,0,0,0,0,1,0,8.0,5,59,0,0,2
14,Christian Benteke,0.3,0,0,3,0,0.0,132,0,0,0.4,0.0,8,0,0,0,0,2,1,4.0,1,55,1,0,0
15,Chris Wood,4.0,0,0,2,0,3.1,91,1,0,2.9,1.2,90,0,0,0,0,1,0,25.0,2,65,1,0,2
16,Connor Wickham,0.0,0,0,0,0,0.0,136,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,1,0,0
17,Danny Ings,7.3,0,3,37,1,4.6,366,0,1,6.9,41.0,90,0,0,0,0,1,0,23.0,9,84,0,0,2
18,David McGoldrick,1.8,0,0,5,1,12.0,344,0,0,1.9,1.8,73,0,0,0,0,1,0,5.0,2,54,1,0,8
19,Divock Origi,0.5,0,0,0,0,0.0,256,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,54,1,0,0
20,Dominic Calvert-Lewin,10.3,0,0,21,0,6.2,164,1,1,8.7,36.2,90,0,0,0,0,2,1,45.0,6,73,0,0,6
21,Dwight Gayle,0.0,0,0,0,0,0.0,329,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,59,0,0,0
22,Edward Nketiah,2.8,0,0,1,0,0.1,22,1,0,0.1,0.0,17,0,0,0,0,1,3,2.0,1,59,0,0,1
23,Fabio Silva,0.7,0,0,0,0,13.1,504,2,0,5.6,3.2,28,0,0,0,0,0,4,40.0,1,55,0,0,0
24,Florin Andone,0.0,0,0,0,0,0.0,64,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,49,1,0,0
25,Gabriel Fernando de Jesus,0.9,0,0,0,0,0.0,282,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,95,1,0,0
26,Glenn Murray,0.0,0,0,0,0,0.0,53,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,49,1,0,0
27,Hal Robson-Kanu,-0.2,0,0,3,0,10.6,408,2,0,2.0,1.2,24,0,0,0,0,3,3,8.0,1,54,1,0,1
28,Harry Kane,9.8,1,0,7,0,23.5,388,1,0,19.1,29.8,90,0,0,0,0,1,1,138.0,5,105,1,0,16
29,Indiana Vassilev,0.0,0,0,0,0,0.0,51,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,0,0,0
30,Jamie Vardy,10.2,0,3,82,0,0.5,224,2,3,17.7,105.2,84,0,0,0,0,5,2,71.0,17,100,0,0,2
31,Jay Rodriguez,0.1,0,0,0,0,0.0,86,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,60,1,0,0
32,Joelinton Cássio Apolinário de Lira,0.5,0,0,6,0,6.2,340,1,0,1.5,8.8,90,0,0,0,0,1,1,0.0,1,59,0,1,1
33,Jordan Ayew,3.0,0,0,3,0,2.2,140,2,0,1.0,6.0,81,0,0,0,0,2,1,2.0,2,59,1,0,2
34,Jordan Hugill,0.0,0,0,0,0,0.0,444,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,55,1,0,0
35,Keinan Davis,0.5,0,0,0,0,0.0,50,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,0,0,0
36,Kelechi Iheanacho,-0.2,0,0,2,0,0.3,233,0,0,0.0,0.0,5,0,0,0,0,5,2,0.0,1,58,0,0,1
37,Kenneth Zohore,0.0,0,0,0,0,0.0,416,0,0,0.0,0.0,0,0,0,0,0,3,3,0.0,0,50,1,0,0
38,Leonardo Campana,0.0,0,0,0,0,0.0,476,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,50,0,0,0
39,Liam Delap,1.0,0,0,0,0,0.3,539,4,0,0.2,0.0,39,0,0,0,0,5,2,4.0,1,45,1,0,0
40,Lys Mousset,0.0,0,0,0,0,0.0,359,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,59,1,0,0
41,Léo Bonatini,0.0,0,0,0,0,0.0,463,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,50,0,0,0
42,Matej Vydra,1.5,0,0,5,0,16.5,93,1,0,4.8,4.2,90,0,0,0,0,1,0,27.0,2,50,1,0,1
43,Mbwana Samatta,0.0,0,0,0,0,0.0,49,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,59,0,0,0
44,Michael Obafemi,0.3,0,0,2,0,0.1,381,0,0,0.1,0.4,13,0,0,0,0,1,0,0.0,1,49,0,0,0
45,Michail Antonio,3.3,0,0,5,1,14.3,437,0,0,7.6,18.0,87,0,0,0,0,0,4,44.0,2,64,1,0,8
46,Michy Batshuayi,0.7,0,0,1,0,0.3,108,0,0,0.2,0.0,15,0,0,0,0,2,1,2.0,1,59,1,0,0
47,Moise Kean,0.7,0,0,0,0,0.0,169,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,59,0,0,0
48,Neal Maupay,7.7,0,2,33,0,38.7,68,3,1,14.1,40.2,90,0,0,0,0,3,2,62.0,8,65,1,0,6
49,Odion Ighalo,1.5,0,0,0,0,0.0,293,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,64,0,0,0
50,Oliver McBurnie,1.5,0,0,2,0,1.3,357,1,0,0.7,1.2,16,0,0,0,0,1,0,4.0,1,59,1,0,1
51,Olivier Giroud,1.3,0,0,3,0,1.8,103,0,0,0.8,0.0,17,0,0,0,0,3,3,6.0,1,69,0,0,0
52,Ollie Watkins,2.0,0,0,3,1,12.0,514,0,0,2.9,1.8,90,0,0,0,0,3,0,15.0,2,60,0,0,19
53,Patrick Bamford,9.2,0,2,29,1,12.4,202,0,1,9.1,34.6,90,0,0,0,0,1,0,44.0,8,57,0,0,1
