,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Connolly,1.4,0,0,27,0,0.0,78,3,1,8.7,37.0,45,0,0,0,0,3,3,50.0,5,52,1,0,0
1,Raúl Jiménez,0.0,0,0,0,0,0.0,460,0,0,0.0,0.0,0,0,0,0,0,3,3,0.0,0,82,0,0,0
2,Neal Maupay,2.9,0,1,30,0,2.3,68,3,1,7.7,35.8,90,0,0,0,0,3,3,39.0,7,61,1,0,1
3,Moise Kean,0.0,0,0,0,0,0.0,169,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,57,1,0,0
4,Léo Bonatini,0.0,0,0,0,0,0.0,463,0,0,0.0,0.0,0,0,0,0,0,3,3,0.0,0,48,0,0,0
5,Gabriel Fernando de Jesus,0.0,0,0,0,0,0.0,282,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,91,0,0,1
6,Richarlison de Andrade,2.6,0,0,8,0,20.8,166,1,0,5.0,9.6,90,0,0,0,0,1,0,20.0,2,78,1,0,1
7,Danny Welbeck,2.0,0,0,0,0,0.0,588,0,0,0.0,0.0,0,0,0,0,0,3,3,0.0,0,55,1,0,0
8,Edward Nketiah,2.5,0,0,0,0,0.0,22,0,0,0.0,0.0,0,0,0,0,0,4,0,0.0,0,55,0,0,1
9,Andi Zeqiri,0.3,0,0,0,0,0.8,574,0,0,5.0,0.4,45,0,0,0,0,3,3,49.0,1,50,1,0,0
10,Carlos Vinicius Alves Morais,0.5,0,0,5,0,0.1,564,0,0,0.3,3.2,3,0,0,0,0,0,3,0.0,1,69,1,0,1
11,Christian Benteke,2.2,1,0,9,0,3.3,132,0,0,0.9,0.0,47,0,0,0,0,0,2,7.0,4,55,1,0,2
12,Michy Batshuayi,0.3,0,0,0,0,0.0,108,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,57,1,0,0
13,Harry Kane,5.9,1,3,47,1,17.5,388,0,1,13.0,56.2,86,0,0,0,0,0,3,56.0,12,110,1,0,8
14,Edinson Cavani,0.0,0,0,0,0,0.0,569,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,78,1,0,2
15,Florin Andone,0.0,0,0,0,0,0.0,64,0,0,0.0,0.0,0,0,0,0,0,3,3,0.0,0,48,1,0,0
16,Fabio Silva,2.5,0,0,7,0,11.3,504,3,0,3.3,3.2,86,0,0,0,0,3,3,18.0,2,52,0,0,2
