,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Connolly,2.5,0,0,0,0,0.0,78,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,55,1,0,0
1,Raúl Jiménez,5.3,0,3,33,0,25.8,460,1,1,9.3,39.2,90,0,0,0,0,1,1,28.0,9,85,1,0,2
2,Neal Maupay,3.8,0,0,-1,0,2.8,68,1,0,3.3,6.8,90,0,0,0,0,1,1,23.0,2,66,1,0,0
3,Moise Kean,0.0,0,0,0,0,0.0,169,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,58,0,0,0
4,Shane Long,0.2,0,0,0,0,0.0,361,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,53,1,0,1
5,Jamie Vardy,4.9,0,2,26,0,0.8,224,0,1,7.0,35.2,30,0,0,0,0,1,0,34.0,7,100,0,0,14
6,Léo Bonatini,0.0,0,0,0,0,0.0,463,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,49,1,0,0
7,Kelechi Iheanacho,1.0,0,0,0,0,0.0,233,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,57,0,0,0
8,Gabriel Fernando de Jesus,0.0,0,0,0,0,0.0,282,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,93,0,0,0
9,Kenneth Zohore,0.0,0,0,0,0,0.0,416,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,49,0,0,0
10,Richarlison de Andrade,0.0,0,0,0,0,0.0,166,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,79,0,0,0
11,Danny Welbeck,1.6,0,0,0,0,0.0,588,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,55,1,0,1
12,Edward Nketiah,1.0,0,0,1,0,0.5,22,0,0,0.0,0.0,9,0,0,0,0,1,0,0.0,1,57,1,0,1
13,Timo Werner,6.7,0,0,5,1,3.3,117,0,0,2.5,1.6,70,0,0,0,0,0,0,20.0,2,93,0,0,7
14,Ollie Watkins,6.2,0,0,6,0,24.3,514,3,0,6.4,7.8,90,0,0,0,0,3,0,32.0,2,60,1,0,7
15,Roberto Firmino,5.5,0,3,37,0,5.6,249,1,1,10.3,36.0,82,0,0,0,0,1,2,61.0,9,93,1,0,2
