,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Connolly,1.4,0,0,-1,0,12.0,78,1,0,4.8,2.0,90,0,0,0,0,1,1,34.0,2,53,1,0,0
1,Raúl Jiménez,0.0,0,0,0,0,0.0,460,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,82,0,0,0
2,Neal Maupay,0.8,0,0,1,0,12.1,68,1,0,7.2,1.8,65,0,0,0,0,1,1,58.0,2,61,1,0,7
3,Moise Kean,0.0,0,0,0,0,0.0,169,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,58,1,0,0
4,Shane Long,-0.7,0,0,0,0,0.0,361,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,52,1,0,2
5,Jamie Vardy,7.0,1,3,44,1,21.4,224,0,1,17.6,45.6,87,0,0,0,0,2,0,109.0,12,102,0,0,5
6,Léo Bonatini,0.0,0,0,0,0,0.0,463,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,48,0,0,0
7,Kelechi Iheanacho,0.7,0,0,0,0,0.8,233,0,0,0.3,0.2,2,0,0,0,0,2,0,2.0,1,56,0,0,0
8,Gabriel Fernando de Jesus,3.2,0,0,0,0,0.0,282,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,92,0,0,0
9,Kenneth Zohore,0.0,0,0,0,0,0.0,416,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,48,1,0,0
10,Richarlison de Andrade,3.7,0,0,4,0,3.3,166,1,0,1.3,3.6,90,0,0,0,0,1,2,6.0,2,78,1,0,0
11,Danny Welbeck,4.4,0,3,24,0,0.0,588,0,1,8.7,34.0,24,0,0,0,0,1,1,53.0,8,55,1,0,2
12,Edward Nketiah,2.2,0,0,3,0,0.3,22,2,0,2.7,0.0,75,0,0,0,0,1,2,27.0,2,55,0,0,0
13,Timo Werner,3.7,1,0,7,1,13.3,117,0,0,9.7,23.6,90,0,0,0,0,0,3,60.0,5,94,1,0,1
14,Ollie Watkins,1.7,0,0,0,1,4.6,514,0,0,3.9,5.6,90,0,0,0,0,3,0,29.0,2,61,0,0,11
15,Roberto Firmino,7.2,1,3,65,1,11.8,249,0,2,13.3,87.0,74,0,0,0,0,7,0,34.0,16,92,0,0,2
