,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Anthony Driscoll-Glennon,-0.5,0,0,0,0,0.0,536,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,1,0,0
1,Oskar Buur,0.5,0,0,0,0,0.0,467,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,1,0,0
2,Kieran Tierney,1.8,0,0,13,0,31.3,17,1,0,4.8,10.8,80,0,0,0,0,1,0,6.0,2,54,1,0,6
3,José Diogo Dalot Teixeira,0.0,0,0,0,0,0.0,314,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,49,1,0,0
4,James Bree,0.0,0,0,0,0,0.0,43,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,1,0,0
5,Branislav Ivanovic,2.2,0,0,12,0,0.4,530,1,0,1.4,13.6,90,0,0,0,0,1,1,0.0,2,45,0,0,1
6,Max Lowe,-0.5,0,0,0,0,0.0,511,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,44,0,0,2
7,Brandon Williams,0.0,0,0,0,0,0.0,318,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,44,1,0,0
8,Aymeric Laporte,0.8,0,0,0,0,0.0,280,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,60,0,0,8
9,William Saliba,0.0,0,0,0,0,0.0,27,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,42,1,0,0
10,Pascal Struijk,0.7,0,0,0,0,1.5,211,0,0,0.3,1.2,20,0,0,0,0,3,0,0.0,0,40,0,1,0
11,Gary Cahill,0.0,0,0,0,0,0.0,125,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,0,0,0
12,Joel Ward,1.2,0,0,0,0,0.0,134,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,0,0,0
13,Toby Alderweireld,2.7,0,2,28,1,13.6,386,0,0,4.5,31.2,90,0,0,0,0,1,0,0.0,8,54,0,0,2
14,Joe Bryan,0.0,0,0,0,0,0.0,182,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,49,1,0,1
15,Luke Ayling,3.0,0,0,27,1,10.7,197,0,0,3.3,22.6,90,0,0,0,0,3,0,0.0,6,45,0,0,0
16,Neil Taylor,0.0,0,0,0,0,0.0,31,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,44,1,0,0
17,Tyrick Mitchell,1.5,0,0,13,0,1.8,146,1,0,4.0,21.6,90,0,0,0,0,2,1,17.0,2,42,0,0,0
18,Neco Williams,1.0,0,0,0,0,0.0,264,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,40,1,0,0
19,Ethan Ampadu,-0.7,0,0,15,0,14.2,509,2,0,3.4,18.4,90,0,0,0,0,1,2,1.0,1,45,0,0,2
20,Çaglar Söyüncü,0.0,0,0,0,0,0.0,238,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,54,0,0,0
21,Craig Dawson,-1.0,0,0,0,0,0.0,576,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
22,Kyle Walker-Peters,3.2,0,0,27,1,2.8,375,0,0,2.0,13.0,90,0,0,0,0,0,2,4.0,5,45,1,1,1
23,Rayan Ait Nouri,0.5,0,0,0,0,0.0,563,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,50,1,0,15
24,Joel Matip,0.9,0,0,0,0,0.0,246,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,54,1,0,0
25,Fernando Luiz Rosa,0.0,0,0,0,0,0.0,266,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,55,0,0,0
26,Fabián Balbuena,4.0,0,0,8,0,0.0,443,1,0,1.8,18.2,90,0,0,0,0,1,1,0.0,1,44,1,1,1
27,Eric Dier,1.5,0,0,27,1,0.8,391,0,0,1.9,18.0,90,0,0,0,0,1,0,0.0,6,50,0,0,2
28,Trent Alexander-Arnold,3.2,0,0,21,0,48.0,259,1,0,8.5,24.0,90,0,0,0,0,1,2,13.0,2,75,1,0,2
29,Niels Nkounkou,0.5,0,0,0,0,0.0,559,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,40,0,0,1
30,Sokratis Papastathopoulos,0.0,0,0,0,0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,49,1,0,0
31,John Stones,1.0,0,0,0,0,0.0,273,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,49,0,0,0
32,Jonathan Castro Otto,0.0,0,0,0,0,0.0,462,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,54,1,0,0
33,Kelland Watts,0.0,0,0,0,0,0.0,342,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,0,0,0
34,Tim Ream,1.0,0,0,14,0,1.4,176,2,0,1.5,13.4,90,0,0,0,0,2,1,0.0,1,44,1,0,0
35,Reece James,3.0,0,2,32,1,3.7,123,0,0,4.3,18.8,90,0,0,0,0,0,0,20.0,8,50,0,0,6
36,Davinson Sánchez,1.3,0,0,0,0,0.0,398,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,54,0,0,0
