,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Anthony Driscoll-Glennon,-2.0,0,0,0,0,0.0,536,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,1,0,0
1,Oskar Buur,0.5,0,0,0,0,0.0,467,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,39,1,0,0
2,Kieran Tierney,3.9,0,0,0,0,0.0,17,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,54,1,0,6
3,José Diogo Dalot Teixeira,0.0,0,0,0,0,0.0,314,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,48,0,0,0
4,Max Lowe,-0.5,0,0,0,0,0.0,511,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,43,1,0,0
5,Brandon Williams,0.0,0,0,0,0,0.0,318,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,42,0,0,0
6,Aymeric Laporte,0.0,0,0,0,0,0.0,280,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,60,1,0,0
7,William Saliba,0.0,0,0,0,0,0.0,27,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,40,1,0,0
8,Gary Cahill,-1.2,0,0,0,0,0.0,125,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,0,0,0
9,Joel Ward,1.2,0,0,22,1,10.8,134,0,0,2.3,12.6,90,0,0,0,0,0,0,0.0,6,43,0,0,0
10,Toby Alderweireld,2.9,0,0,0,0,0.0,386,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,54,1,0,0
11,Joe Bryan,-1.6,0,0,0,0,0.0,182,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,46,0,0,1
12,Tyrick Mitchell,1.7,0,2,27,1,26.3,146,0,0,4.8,21.6,90,0,0,0,0,0,0,0.0,8,39,0,0,0
13,Ethan Ampadu,1.9,0,3,32,1,28.1,509,0,0,6.0,29.6,90,0,0,0,0,0,1,2.0,9,43,1,0,0
14,Rayan Ait Nouri,2.3,1,2,32,0,24.3,563,2,0,5.3,26.2,90,0,0,0,0,2,1,2.0,6,50,1,0,1
15,Fernando Luiz Rosa,2.6,0,0,0,0,0.0,266,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,54,1,0,6
16,Eric Dier,2.5,0,0,13,0,0.9,391,1,0,3.1,22.4,90,0,0,0,0,1,1,8.0,2,51,1,0,2
17,Sokratis Papastathopoulos,0.0,0,0,0,0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,48,1,0,0
