,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Lee Peltier,-0.5,0,0,0,0,0.0,600,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,40,0,0,0
1,Anthony Driscoll-Glennon,-1.0,0,0,0,0,0.0,536,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,0,0,0
2,Oskar Buur,0.0,0,0,0,0,0.0,467,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,39,1,0,0
3,Kieran Tierney,3.2,0,0,19,0,27.3,17,1,0,6.6,15.8,90,0,0,0,0,1,0,23.0,2,54,1,0,2
4,José Diogo Dalot Teixeira,0.0,0,0,0,0,0.0,314,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,48,1,0,0
5,James Bree,0.0,0,0,0,0,0.0,43,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,0,0,0
6,Branislav Ivanovic,1.3,0,0,12,0,0.5,530,2,0,1.1,10.4,90,0,0,0,0,1,2,0.0,0,45,0,1,0
7,Max Lowe,1.0,0,0,0,0,0.0,511,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,44,0,0,0
8,Brandon Williams,-0.3,0,0,0,0,0.0,318,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,42,1,0,0
9,Aymeric Laporte,0.7,0,0,0,0,0.0,280,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,60,0,0,0
10,William Saliba,1.0,0,0,0,0,0.0,27,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,41,1,0,0
11,Pascal Struijk,0.0,0,0,0,0,0.0,211,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,40,1,0,0
12,Gary Cahill,0.7,0,0,15,0,21.4,125,1,0,4.3,15.8,90,0,0,0,0,1,1,6.0,2,45,1,0,0
13,Joel Ward,-0.5,0,0,0,0,0.0,134,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,44,1,0,6
14,Toby Alderweireld,4.0,0,0,13,0,14.1,386,1,0,3.8,23.4,90,0,0,0,0,1,1,0.0,2,54,0,0,1
15,Joe Bryan,-1.0,0,0,5,0,0.0,182,0,0,0.2,2.2,2,0,0,0,0,1,1,0.0,1,47,1,0,0
16,Luke Ayling,3.2,0,0,20,0,16.3,197,2,0,6.7,44.0,90,0,0,0,0,2,1,7.0,1,45,1,0,1
17,Neil Taylor,0.0,0,0,0,0,0.0,31,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,43,0,0,0
18,Tyrick Mitchell,-0.4,0,0,0,0,0.0,146,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,1,0,0
19,Neco Williams,3.5,0,0,3,0,1.9,264,0,0,2.5,3.0,22,0,0,0,0,1,1,20.0,1,39,0,0,0
20,Ethan Ampadu,0.8,0,0,8,0,1.3,509,3,0,1.0,8.8,90,0,0,0,0,0,3,0.0,1,43,0,0,1
21,Çaglar Söyüncü,0.1,0,0,0,0,0.0,238,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,53,1,0,0
22,Craig Dawson,0.0,0,0,0,0,0.0,576,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,0,0,0
23,Kyle Walker-Peters,3.8,0,0,27,1,2.3,375,0,0,1.7,11.8,90,0,0,0,0,0,3,3.0,6,46,1,0,2
24,Rayan Ait Nouri,0.8,0,0,0,0,0.0,563,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,50,1,0,0
25,Joel Matip,6.7,0,0,16,0,0.5,246,1,0,2.1,20.8,45,0,0,0,0,1,1,0.0,1,54,0,0,0
26,Fernando Luiz Rosa,2.0,0,0,23,1,3.2,266,0,0,1.9,6.8,90,0,0,0,0,0,0,9.0,5,54,0,1,0
27,Fabián Balbuena,2.8,0,0,1,0,0.2,443,1,0,3.7,15.4,90,0,0,0,0,2,1,21.0,2,44,0,0,0
28,Eric Dier,5.7,0,0,5,0,1.3,391,1,0,3.3,17.0,90,0,0,0,0,1,1,15.0,2,50,0,0,1
29,Trent Alexander-Arnold,2.3,0,0,11,0,18.5,259,1,0,3.5,14.2,67,0,0,0,0,1,1,2.0,2,72,0,0,2
30,Niels Nkounkou,-0.5,0,0,0,0,0.0,559,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,40,1,0,0
31,Sokratis Papastathopoulos,0.0,0,0,0,0,0.0,2,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,49,1,0,0
32,John Stones,5.5,0,2,30,1,1.3,273,0,0,1.6,14.8,90,0,0,0,0,0,0,0.0,8,48,0,0,0
33,Jonathan Castro Otto,0.0,0,0,0,0,0.0,462,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,54,1,0,0
34,Kelland Watts,0.0,0,0,0,0,0.0,342,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,40,1,0,0
35,Tim Ream,-1.5,0,0,0,0,0.0,176,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,43,1,0,0
36,Reece James,5.5,0,0,6,0,5.3,123,1,0,5.4,16.8,90,0,0,0,0,0,1,32.0,1,53,0,1,1
37,Davinson Sánchez,0.5,0,0,0,0,0.0,398,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,53,0,0,0
38,Jamal Lewis,3.2,0,0,1,0,1.0,513,1,0,0.9,8.2,68,0,0,0,0,1,2,0.0,1,43,1,1,0
