,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Willy Boly,0.5,0,0,0,0,0.0,458,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,54,1,0,0
1,Ciaran Clark,-0.2,0,0,0,0,0.0,324,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,45,1,0,2
2,Rhys Williams,0.5,0,0,3,0,0.1,594,0,0,0.2,2.2,6,0,0,0,0,3,0,0.0,1,40,0,0,0
3,Dara O'Shea,0.5,0,0,3,0,0.0,425,0,0,0.1,0.6,23,0,0,0,0,5,2,0.0,1,42,0,0,6
4,José Diogo Dalot Teixeira,0.0,0,0,0,0,0.0,314,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,48,1,0,0
5,Oliver Casey,0.5,0,0,0,0,0.0,215,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,38,1,0,0
6,Reece James,4.0,0,0,14,0,65.9,123,5,0,11.9,23.2,90,0,0,0,0,5,2,30.0,0,50,1,0,4
7,Chris Smalling,0.0,0,0,0,0,0.0,292,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,49,1,0,0
8,Nathan Aké,0.5,0,0,0,0,0.0,279,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,54,0,0,0
9,Branislav Ivanovic,-0.5,0,0,3,0,0.0,530,1,0,0.0,0.0,12,0,0,0,0,5,2,0.0,1,44,0,0,0
10,Sead Kolasinac,0.0,0,0,0,0,0.0,14,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,48,1,0,0
11,Charlie Cresswell,0.5,0,0,0,0,0.0,620,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,40,1,0,0
12,David Luiz Moreira Marinho,0.0,0,0,0,0,0.0,3,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,54,1,0,0
13,Kyle Walker,2.8,0,0,24,1,11.3,270,0,0,2.5,13.8,90,0,0,0,0,2,0,0.0,6,61,0,0,0
14,Serge Aurier,0.5,0,0,0,0,0.0,389,0,0,0.0,0.0,0,0,0,0,0,2,2,0.0,0,52,0,0,1
15,Yerry Mina,0.8,0,0,11,0,0.0,162,1,0,2.1,14.6,90,0,0,0,0,1,1,6.0,1,55,1,1,1
16,Emerson Palmieri dos Santos,1.0,0,0,0,0,0.0,111,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,47,1,0,0
17,Axel Tuanzebe,0.5,0,0,0,0,0.0,307,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,41,1,0,0
18,Ben Mee,1.5,0,0,7,0,0.8,88,3,0,3.1,23.8,90,0,0,0,0,2,3,6.0,1,49,0,0,1
19,Tosin Adarabioyo,1.0,0,0,10,0,0.0,572,3,0,2.3,20.6,90,0,0,0,0,1,3,2.0,1,45,0,0,0
20,Patrick van Aanholt,3.0,0,0,13,0,3.8,139,1,0,2.9,12.2,90,0,0,0,0,1,1,13.0,2,54,0,0,0
21,Japhet Tanganga,2.5,0,0,14,0,15.4,402,2,0,6.6,17.0,90,0,0,0,0,2,2,34.0,0,49,0,1,0
22,Ryan Fredericks,0.7,0,0,0,0,0.0,438,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,42,0,0,0
23,Marcos Rojo,0.0,0,0,0,0,0.0,294,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,48,1,0,0
24,Vladimir Coufal,3.5,1,0,24,0,26.2,558,2,0,6.2,36.2,90,0,0,0,0,3,2,0.0,4,46,0,0,4
25,Jan Bednarek,0.7,0,0,17,0,10.8,376,2,0,4.4,27.0,90,0,0,0,0,2,3,6.0,1,48,1,0,1
26,Conor Townsend,0.5,0,0,5,0,1.3,418,2,0,1.1,6.4,90,0,0,0,0,5,2,3.0,1,44,0,0,6
27,Angelo Ogbonna,0.0,0,0,0,0,0.0,432,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,47,0,0,0
28,Benjamin Chilwell,3.0,0,0,0,0,0.0,232,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,58,1,0,2
29,John Egan,0.0,0,0,3,0,0.0,353,0,0,0.2,1.8,13,0,0,0,0,1,2,0.0,1,47,0,0,1
30,Mohammed Salisu,0.3,0,0,4,0,0.0,479,0,0,0.2,1.6,11,0,0,0,0,2,3,0.0,1,43,1,0,0
31,Luke Mbete,0.5,0,0,0,0,0.0,622,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,40,0,0,0
32,Nathaniel Clyne,-0.2,0,0,0,0,0.0,577,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,0,0,0
33,Frederik Alves,0.5,0,0,0,0,0.0,637,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,40,0,0,0
34,Gabriel Magalhães,0.7,0,0,4,0,0.4,494,3,0,1.4,14.0,90,0,0,0,0,3,0,0.0,0,49,1,1,0
35,Héctor Bellerín,0.0,0,0,0,0,0.0,11,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,50,1,0,0
36,Jack Robinson,0.0,0,0,0,0,0.0,352,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,42,0,0,0
37,Arthur Masuaku,1.3,1,0,20,0,22.1,442,1,0,5.2,28.0,66,0,0,0,0,3,2,2.0,5,43,0,0,0
38,Cédric Soares,0.7,0,0,4,0,2.5,5,3,0,2.7,7.4,45,0,0,0,0,3,0,17.0,0,46,1,0,0
39,Chris Basham,-0.1,0,0,0,0,0.0,345,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,46,0,0,0
40,Jamaal Lascelles,2.8,0,0,9,0,1.7,328,2,0,4.0,16.0,90,0,0,0,0,2,2,22.0,1,42,1,0,0
41,Harry Maguire,5.5,0,0,17,0,5.8,298,1,0,5.1,27.4,90,0,0,0,0,1,2,18.0,2,55,1,0,1
42,Teden Mengi,0.0,0,0,0,0,0.0,319,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,39,1,0,0
43,Alfie Mawson,0.0,0,0,0,0,0.0,185,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,43,0,0,0
44,Adam Webster,0.0,0,0,0,0,0.0,66,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,43,0,0,0
45,Aaron Wan-Bissaka,4.0,0,0,12,0,29.8,313,1,0,4.3,13.0,90,0,0,0,0,1,2,0.0,2,57,1,0,2
46,Seamus Coleman,4.5,1,2,37,1,40.5,152,0,0,7.3,30.8,75,0,0,0,0,1,1,2.0,11,48,1,0,6
