,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Lee Peltier,0.1,0,0,0,0,0.0,600,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,1,0,0
1,Anthony Driscoll-Glennon,0.0,0,0,0,0,0.0,536,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,40,0,0,0
2,Oskar Buur,0.0,0,0,0,0,0.0,467,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,40,0,0,0
3,Kieran Tierney,3.3,0,0,16,0,27.6,17,3,0,5.6,18.0,90,0,0,0,0,3,0,10.0,1,54,1,0,6
4,José Diogo Dalot Teixeira,0.0,0,0,0,0,0.0,314,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,48,0,0,0
5,James Bree,0.0,0,0,0,0,0.0,43,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,0,0,0
6,Branislav Ivanovic,1.2,0,0,0,0,0.0,530,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,1,0,2
7,Max Lowe,0.3,0,0,2,0,1.4,511,4,0,2.3,14.2,90,0,0,0,0,1,4,7.0,0,44,0,0,2
8,Brandon Williams,0.0,0,0,0,0,0.0,318,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,43,0,0,0
9,Aymeric Laporte,2.2,0,0,9,0,1.2,280,1,0,1.1,10.2,90,0,0,0,0,1,1,0.0,1,60,1,1,1
10,William Saliba,0.5,0,0,0,0,0.0,27,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,41,1,0,0
11,Pascal Struijk,0.5,0,0,11,0,13.4,211,4,0,2.3,3.4,70,0,0,0,0,1,4,6.0,0,40,0,0,0
12,Gary Cahill,0.5,0,0,0,0,0.0,125,0,0,0.0,0.0,0,0,0,0,0,1,4,0.0,0,45,1,0,0
13,Joel Ward,0.0,0,0,0,0,0.0,134,0,0,0.0,0.0,0,0,0,0,0,1,4,0.0,0,44,1,0,0
14,Toby Alderweireld,5.5,0,1,26,1,1.0,386,0,0,3.5,17.0,90,0,0,0,0,1,0,17.0,7,54,0,0,6
15,Joe Bryan,-0.3,0,0,0,0,0.0,182,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,48,0,0,0
16,Luke Ayling,1.8,0,0,14,0,3.6,197,4,0,3.7,23.4,90,0,0,0,0,1,4,10.0,0,45,0,0,6
17,Neil Taylor,-0.5,0,0,0,0,0.0,31,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,44,0,0,0
18,Tyrick Mitchell,0.0,0,0,0,0,0.0,146,0,0,0.0,0.0,0,0,0,0,0,1,4,0.0,0,42,1,0,0
19,Neco Williams,0.0,0,0,0,0,0.0,264,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,39,0,0,1
20,Ethan Ampadu,0.0,0,0,0,0,0.0,509,0,0,0.0,0.0,0,0,0,0,0,1,4,0.0,0,44,0,0,2
21,Çaglar Söyüncü,0.0,0,0,0,0,0.0,238,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,53,1,0,0
22,Craig Dawson,0.5,0,0,0,0,0.0,576,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,45,1,0,0
23,Kyle Walker-Peters,4.0,0,3,32,1,2.4,375,0,0,3.6,15.4,90,0,0,0,0,0,2,18.0,9,45,1,0,3
24,Rayan Ait Nouri,4.2,0,0,6,0,5.7,563,1,0,1.3,1.4,75,0,0,0,0,0,1,6.0,2,50,0,0,2
25,Joel Matip,0.5,0,0,12,0,0.6,246,1,0,1.2,11.4,90,0,0,0,0,1,1,0.0,1,54,0,1,6
