,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Aaron Mooy,0.0,0,0,0,0,0.0,60,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,50,0,0,0
1,Abdoulaye Doucouré,2.5,0,0,13,0,2.7,512,2,0,0.9,6.4,64,0,0,0,0,2,5,0.0,1,55,1,1,2
2,Aboubakar Kamara,1.5,0,0,3,0,2.0,190,4,0,0.5,0.6,57,0,0,0,0,3,4,2.0,1,50,0,0,0
3,Adama Traoré,1.5,0,0,17,0,39.2,465,3,0,6.7,25.6,90,0,0,0,0,3,1,2.0,2,65,1,0,2
4,Adam Forshaw,0.0,0,0,0,0,0.0,199,0,0,0.0,0.0,0,0,0,0,0,3,4,0.0,0,50,1,0,0
5,Adam Lallana,0.4,0,0,3,0,1.2,54,0,0,0.8,6.4,12,0,0,0,0,3,0,0.0,1,65,0,0,2
6,Adrien Silva,0.5,0,0,0,0,0.0,220,0,0,0.0,0.0,0,0,0,0,0,2,4,0.0,0,45,1,0,0
7,Adrián Bernabé,2.0,0,0,0,0,0.0,537,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,0,0,0
8,Alexis Mac Allister,-0.5,0,0,0,0,0.0,80,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,55,0,0,0
9,Alex Iwobi,1.0,0,0,2,0,6.0,159,0,0,0.9,0.0,19,0,0,0,0,2,5,4.0,1,60,1,0,1
10,Alex Oxlade-Chamberlain,0.0,0,0,0,0,0.0,248,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,65,0,0,0
11,Alireza Jahanbakhsh,0.5,0,0,4,0,10.4,71,0,0,3.0,2.0,1,0,0,0,0,3,0,18.0,1,55,0,0,3
12,Allan Marques Loureiro,3.0,0,0,13,0,6.0,502,2,0,3.1,18.0,90,0,0,0,0,2,5,7.0,2,55,1,0,2
13,Allan Saint-Maximin,2.5,0,0,0,0,0.6,338,2,0,0.0,0.0,32,0,0,0,0,3,0,0.0,1,55,1,0,0
14,Andreas Pereira,0.5,0,0,0,0,0.0,304,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,50,1,0,0
15,Andriy Yarmolenko,0.0,0,0,4,0,4.7,436,1,0,0.7,2.2,7,0,0,0,0,1,2,0.0,1,59,0,0,0
16,Andros Townsend,8.0,0,2,27,0,20.9,137,1,1,10.1,39.6,90,0,0,0,0,3,1,40.0,9,60,0,0,5
17,André Filipe Tavares Gomes,3.0,0,0,11,0,17.2,158,2,0,3.0,11.2,90,0,0,0,0,2,5,2.0,2,55,1,0,2
18,André-Frank Zambo Anguissa,3.0,1,0,30,0,34.1,191,4,0,8.6,43.4,90,0,0,0,0,3,4,8.0,5,45,0,0,2
19,Anthony Gordon,0.5,0,0,0,0,0.0,168,0,0,0.0,0.0,0,0,0,0,0,2,5,0.0,0,45,1,0,0
20,Anthony Knockaert,0.0,0,0,0,0,0.0,177,0,0,0.0,0.0,0,0,0,0,0,3,4,0.0,0,54,0,0,0
21,Anwar El Ghazi,-0.5,0,0,0,0,0.0,45,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,60,1,0,0
22,Ashley Westwood,1.5,0,0,12,0,25.3,89,4,0,3.3,7.6,90,0,0,0,0,2,4,0.0,2,55,0,0,2
23,Ayoze Pérez,3.0,0,0,4,0,3.3,229,1,0,3.8,6.8,61,0,0,0,0,2,4,28.0,2,65,1,0,0
24,Bamidele Alli,1.0,0,0,0,0,0.0,394,0,0,0.0,0.0,0,0,0,0,0,5,2,0.0,0,79,0,0,0
25,Ben Osborn,1.0,0,0,2,0,4.8,356,0,0,0.5,0.4,27,0,0,0,0,0,1,0.0,1,50,0,0,2
26,Bernardo Mota Veiga de Carvalho e Silva,0.8,0,0,0,0,0.0,281,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,75,0,0,0
27,Bernard Anício Caldeira Duarte,0.5,0,0,0,0,0.0,154,0,0,0.0,0.0,0,0,0,0,0,2,5,0.0,0,60,1,0,0
28,Billy Gilmour,0.0,0,0,0,0,0.0,124,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,45,1,0,0
29,Brandon Pierrick,-0.5,0,0,0,0,0.0,147,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,0,0,0
