,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Ibrahima Diallo,0.1,0,0,0,0,0.0,565,0,0,0.0,0.0,0,0,0,0,0,0,9,0.0,0,45,0,0,0
1,Felipe Anderson Pereira Gomes,0.0,0,0,0,0,0.0,440,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,61,0,0,0
2,Raheem Sterling,6.3,0,0,25,1,27.9,276,0,1,15.4,50.6,90,0,0,0,0,2,0,75.0,8,116,0,0,8
3,Juan Mata,0.5,0,0,0,0,0.0,290,0,0,0.0,0.0,0,0,0,0,0,0,9,0.0,0,58,1,0,0
4,Oliver Norwood,2.1,0,0,7,0,2.1,349,1,0,0.6,2.6,45,0,0,0,0,1,2,1.0,1,45,1,0,2
5,Wilfried Zaha,2.6,0,0,6,0,2.3,141,1,0,0.7,4.4,57,0,0,0,0,2,1,0.0,1,72,0,0,0
6,Ryan Fraser,0.8,0,0,23,0,111.7,507,2,0,18.1,33.6,90,0,0,0,0,2,1,36.0,2,56,1,0,0
7,Cengiz Ünder,1.4,0,0,0,0,0.0,541,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,57,0,0,0
8,Hélder Wander Sousa de Azevedo e Costa,0.5,0,0,3,0,0.6,205,0,0,0.1,0.2,3,0,0,0,0,2,1,0.0,1,51,1,0,0
9,Jean Michaël Seri,0.0,0,0,0,0,0.0,189,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,46,1,0,0
10,Tyler Onyango,0.0,0,0,0,0,0.0,644,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,0,0,0
11,Dennis Praet,0.0,0,0,0,0,0.0,225,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,52,0,0,0
12,Mark Noble,0.6,0,0,0,0,0.0,427,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,46,0,0,1
13,Bernardo Mota Veiga de Carvalho e Silva,5.8,1,0,23,1,11.2,281,0,0,5.5,12.4,90,0,0,0,0,2,0,31.0,6,74,0,0,5
14,Jordan Henderson,2.8,0,0,25,0,13.4,244,1,0,3.8,24.6,90,0,0,0,0,1,0,0.0,2,54,1,0,2
15,Curtis Jones,2.4,0,0,3,0,1.3,263,0,0,1.5,1.4,11,0,0,0,0,1,0,12.0,1,44,1,0,2
16,Matt Ritchie,0.2,0,0,0,0,0.0,322,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,49,1,0,0
17,Teddy Jenks,-1.0,0,0,0,0,0.0,631,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,0,0,0
18,Jakub Moder,-1.0,0,0,0,0,0.0,628,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,50,0,0,0
19,Ivan Ricardo Neves Abreu Cavaleiro,2.5,0,0,-1,0,1.8,187,0,0,0.2,0.0,45,0,0,0,0,2,0,1.0,0,53,1,1,3
20,Jesse Lingard,2.5,0,3,47,0,31.8,301,1,2,17.4,77.6,90,0,0,0,0,3,1,65.0,15,59,0,0,3
21,Robbie Brady,0.1,0,0,0,0,0.0,95,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,50,1,0,0
22,Jeff Hendrick,1.8,0,0,5,0,3.0,485,2,0,1.2,0.6,62,0,0,0,0,2,1,8.0,2,45,1,0,-2
23,Mace Goodridge,-1.5,0,0,0,0,0.0,551,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,45,1,0,0
24,Youri Tielemans,7.0,0,0,13,1,16.8,228,0,0,3.6,19.6,90,0,0,0,0,2,0,0.0,3,64,0,0,3
25,Oliver Burke,2.9,0,0,2,0,0.0,424,0,0,0.0,0.0,4,0,0,0,0,1,2,0.0,1,42,1,0,5
26,Bruno Miguel Borges Fernandes,5.8,2,3,54,1,65.2,302,0,1,22.4,89.4,90,0,0,0,0,0,9,69.0,17,114,1,0,7
27,Jack Jenkins,0.0,0,0,0,0,0.0,599,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,1,0,0
28,Anthony Gordon,0.0,0,0,0,0,0.0,168,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,43,0,0,0
29,Kevin De Bruyne,0.0,0,0,0,0,0.0,272,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,118,0,0,0
30,Gylfi Sigurdsson,3.0,0,1,24,0,16.8,150,1,1,8.3,39.8,89,0,0,0,0,2,1,26.0,8,68,0,0,1
31,Phil Foden,4.7,0,0,0,0,0.0,284,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,62,0,0,16
32,James Garner,0.0,0,0,0,0,0.0,317,0,0,0.0,0.0,0,0,0,0,0,0,9,0.0,0,44,1,0,0
33,Riyad Mahrez,4.7,0,0,13,1,31.1,275,0,0,5.7,7.4,90,0,0,0,0,2,0,18.0,3,81,0,0,2
34,Jake Livermore,1.5,0,0,8,0,1.3,409,2,0,0.9,7.6,90,0,0,0,0,1,2,0.0,2,47,0,0,0
35,Harrison Reed,1.2,0,0,16,0,18.1,373,2,0,5.6,31.8,90,0,0,0,0,2,0,6.0,1,44,1,1,3
36,Jeffrey Schlupp,0.0,0,0,0,0,0.0,142,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,54,0,0,0
37,Faustino Anjorin,0.0,0,0,0,0,0.0,605,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,0,0,0
38,James Rodríguez,2.8,0,0,0,0,0.0,508,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,77,0,0,7
39,Aboubakar Kamara,0.0,0,0,0,0,0.0,190,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,48,1,0,0
40,Vitor Ferreira,0.1,0,0,1,0,26.1,515,0,0,3.7,5.2,28,0,0,0,0,1,2,6.0,1,48,1,0,0
41,Gabriel Teodoro Martinelli Silva,0.9,0,0,0,0,0.0,26,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,49,0,0,0
42,Jonjo Shelvey,3.0,0,1,26,0,21.9,321,2,1,7.4,38.2,90,0,0,0,0,2,1,14.0,7,53,1,1,2
43,José Ignacio Peleteiro Romallo,0.0,0,0,0,0,0.0,34,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,59,1,0,0
44,Kgaogelo Chauke,-0.5,0,0,0,0,0.0,624,0,0,0.0,0.0,0,0,0,0,0,0,9,0.0,0,45,0,0,0
45,Jonathan Leko,0.0,0,0,0,0,0.0,420,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,45,0,0,0
46,Solomon March,1.6,0,0,10,1,19.4,65,0,0,3.3,9.2,66,0,0,0,0,1,0,4.0,3,50,0,0,0
47,Alfie Devine,0.0,0,0,0,0,0.0,650,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,1,0,0
48,Luka Milivojevic,2.2,0,0,12,0,2.9,138,1,0,3.0,27.2,90,0,0,0,0,2,1,0.0,1,56,0,1,1
49,Steven Alzate,1.2,0,3,32,1,16.2,79,0,1,9.2,54.6,90,0,0,0,0,1,0,21.0,11,43,0,0,0
50,Sadio Mané,1.2,0,0,0,0,0.0,251,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,119,1,0,2
51,Josh Sims,0.0,0,0,0,0,0.0,374,0,0,0.0,0.0,0,0,0,0,0,0,9,0.0,0,43,0,0,0
52,Facundo Pellistri,0.0,0,0,0,0,0.0,575,0,0,0.0,0.0,0,0,0,0,0,0,9,0.0,0,52,1,0,0
53,Nicolas Pépé,3.9,0,0,24,0,14.0,18,2,1,10.2,45.8,60,0,0,0,0,1,2,42.0,7,76,0,0,2
54,Bertrand Traoré,3.4,0,0,4,0,6.3,540,3,0,2.0,6.2,45,0,0,0,0,3,1,7.0,1,59,1,0,6
55,Sam Field,0.0,0,0,0,0,0.0,423,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,48,0,0,0
