,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Luke Cundle,0.0,0,0,0,0,0.0,614,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,0,0,0
1,Matt Ritchie,1.3,0,0,11,0,14.6,322,1,0,2.8,13.2,90,0,0,0,0,2,1,0.0,2,49,0,0,10
2,André-Frank Zambo Anguissa,1.0,0,0,4,0,25.3,191,1,0,5.5,8.8,27,0,0,0,0,1,0,21.0,1,45,1,0,2
3,Jean Michaël Seri,0.0,0,0,0,0,0.0,189,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,46,1,0,0
4,Mason Greenwood,8.5,1,2,34,0,14.4,315,0,1,8.6,50.2,18,0,0,0,0,3,1,21.0,11,70,0,0,15
5,Rúben Diogo da Silva Neves,1.7,0,0,12,1,2.3,466,0,0,1.8,13.8,90,0,0,0,0,1,0,2.0,3,51,0,0,0
6,Nathan Broadhead,0.5,0,0,5,0,0.0,680,0,0,0.2,2.0,2,0,0,0,0,0,0,0.0,1,45,0,0,0
7,Jack Grealish,0.0,0,0,0,0,0.0,37,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,75,0,0,0
8,Felipe Anderson Pereira Gomes,0.0,0,0,0,0,0.0,440,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,61,1,0,0
9,Tanguy Ndombele,4.0,0,0,14,0,5.3,405,1,0,1.1,3.4,77,0,0,0,0,3,1,2.0,2,59,1,0,5
10,Mesut Özil,0.0,0,0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,67,0,0,0
11,Gylfi Sigurdsson,2.0,0,0,18,1,1.8,150,0,0,2.3,11.4,90,0,0,0,0,0,0,10.0,3,68,0,0,15
12,John Fleck,1.0,0,0,11,0,13.1,346,3,0,1.6,2.6,90,0,0,0,0,3,0,0.0,2,56,1,0,2
13,Jorge Luiz Frello Filho,3.0,0,0,21,1,15.0,105,0,0,2.8,13.0,60,0,0,0,0,4,1,0.0,3,47,0,0,2
14,Isaac Hayden,0.0,0,0,0,0,0.0,336,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,46,0,0,0
15,Shane Flynn,0.0,0,0,0,0,0.0,684,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,45,0,0,0
16,Tom Cairney,0.0,0,0,0,0,0.0,175,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,52,1,0,0
17,Kyle Edwards,-0.5,0,0,0,0,0.0,421,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,47,1,0,0
18,Marcus Rashford,3.8,0,0,7,0,2.3,306,1,0,2.4,1.8,71,0,0,0,0,3,1,20.0,2,95,0,0,7
19,Andreas Pereira,0.0,0,0,0,0,0.0,304,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,48,0,0,0
20,Willian Borges Da Silva,1.3,0,0,3,0,0.1,478,0,0,0.8,0.2,21,0,0,0,0,3,0,8.0,1,75,0,0,0
21,Tom Davies,2.5,0,0,6,1,2.5,163,0,0,1.4,3.8,87,0,0,0,0,0,0,8.0,3,52,0,0,1
22,Heung-Min Son,2.7,0,0,29,0,39.0,390,3,1,13.0,42.8,90,0,0,0,0,3,1,48.0,7,94,1,0,2
23,Frederico Rodrigues de Paula Santos,4.5,0,1,32,0,20.6,299,1,1,12.2,54.2,90,0,0,0,0,3,1,47.0,7,53,0,1,1
24,Oriol Romeu Vidal,0.0,0,0,0,0,0.0,364,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,45,0,0,0
25,Billy Gilmour,0.5,0,0,0,0,0.0,124,0,0,0.0,0.0,0,0,0,0,0,4,1,0.0,0,44,0,0,0
26,Georginio Wijnaldum,2.5,0,0,13,0,13.6,243,1,0,4.2,6.6,69,0,0,0,0,1,2,22.0,2,53,1,0,2
27,Ivan Ricardo Neves Abreu Cavaleiro,1.3,0,0,4,0,10.3,187,1,0,1.7,5.0,6,0,0,0,0,1,0,2.0,1,53,1,0,3
28,Frankie Maguire,-1.0,0,0,0,0,0.0,670,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,44,1,0,0
29,Vitor Ferreira,0.3,0,0,0,0,0.0,515,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,47,0,0,1
30,Abdoulaye Doucouré,0.0,0,0,0,0,0.0,512,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,52,0,0,0
31,Grady Diangana,-0.5,0,0,0,0,0.0,446,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,50,1,0,0
32,Ayoze Pérez,1.0,0,0,0,0,0.0,229,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,60,0,0,1
33,Ben Osborn,5.0,0,0,8,0,14.3,356,3,0,2.6,10.0,90,0,0,0,0,3,0,2.0,2,47,1,0,2
34,Declan Rice,0.2,0,0,0,0,0.0,448,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,47,1,0,0
35,Ferran Torres,5.0,0,0,22,0,28.4,287,2,1,11.9,39.6,90,0,0,0,0,2,1,51.0,7,69,1,0,0
36,Matty James,0.0,0,0,0,0,0.0,222,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,43,0,0,0
37,Jonjo Shelvey,3.0,1,1,24,0,25.4,321,1,0,5.8,30.6,90,0,0,0,0,2,1,2.0,6,53,0,0,1
38,Adama Traoré,5.3,0,0,19,1,2.9,465,0,1,5.5,32.0,90,0,0,0,0,1,0,20.0,8,60,0,0,6
39,Leighton Clarkson,0.5,0,0,0,0,0.0,601,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,45,1,0,0
40,Hélder Wander Sousa de Azevedo e Costa,-0.3,0,0,3,0,1.3,205,1,0,1.0,6.6,90,0,0,0,0,2,1,2.0,2,50,0,0,2
41,Mohamed Salah,6.5,0,0,21,0,16.8,254,1,1,16.9,36.2,90,0,0,0,0,1,2,116.0,7,124,1,0,1
42,Emile Smith Rowe,1.3,0,0,0,0,0.0,23,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,42,0,0,2
43,Mateusz Bogusz,0.0,0,0,0,0,0.0,533,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,43,0,0,0
44,Allan Saint-Maximin,4.3,1,3,37,0,20.8,338,0,1,11.5,53.4,33,0,0,0,0,2,1,41.0,12,51,0,0,6
45,Stefan Johansen,0.0,0,0,0,0,0.0,174,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,47,1,0,0
46,Dale Stephens,0.0,0,0,0,0,0.0,55,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,42,1,0,0
47,Pablo Hernández Domínguez,-1.0,0,0,0,0,0.0,193,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,57,0,0,1
48,Henri Lansbury,0.0,0,0,0,0,0.0,30,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,43,0,0,0
49,Bamidele Alli,0.0,0,0,0,0,0.0,394,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,74,1,0,1
50,Steven Bergwijn,0.3,0,0,0,0,0.0,400,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,70,1,0,0
51,Saïd Benrahma,1.3,0,0,4,0,0.3,587,1,0,0.3,3.0,6,0,0,0,0,2,3,0.0,1,60,1,0,1
52,Thiago Alcántara do Nascimento,2.5,0,0,4,0,0.3,531,0,0,2.5,5.6,20,0,0,0,0,1,2,19.0,1,55,1,0,2
53,Alexandre Jankewitz,0.5,0,0,0,0,0.0,643,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,45,0,0,0
54,Pablo Fornals,3.0,0,0,6,0,1.4,450,2,0,1.0,8.4,90,0,0,0,0,2,3,0.0,2,58,1,0,2
55,Kevin De Bruyne,2.5,0,0,0,0,0.0,272,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,119,1,0,0
56,Zak Brunt,-1.0,0,0,0,0,0.0,657,0,0,0.0,0.0,0,0,0,0,0,3,0,0.0,0,45,1,0,0
57,Leandro Trossard,6.3,0,0,9,1,17.5,69,0,0,8.7,9.0,90,0,0,0,0,0,0,60.0,3,58,1,0,1
58,Cole Palmer,1.0,0,0,0,0,0.0,552,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,44,1,0,0
59,Moussa Djenepo,1.5,0,0,3,0,0.3,382,0,0,0.3,0.4,3,0,0,0,0,0,3,2.0,1,54,0,0,0
60,James Garner,0.0,0,0,0,0,0.0,317,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,44,0,0,0
61,Shola Shoretire,0.0,0,0,0,0,0.0,673,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,0,0,0
62,Callum Hudson-Odoi,3.0,1,0,27,0,68.2,122,1,0,11.7,32.4,75,0,0,0,0,4,1,16.0,5,57,0,0,1
