,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Ibrahima Diallo,1.5,0,0,9,0,3.2,565,3,0,1.9,6.2,90,0,0,0,0,3,1,10.0,2,45,1,0,1
1,Felipe Anderson Pereira Gomes,0.0,0,0,0,0,0.0,440,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,61,0,0,0
2,Raheem Sterling,6.7,1,0,38,1,20.8,276,0,1,18.1,55.0,90,0,0,0,0,5,0,105.0,11,115,0,0,0
3,Juan Mata,0.5,0,0,0,0,0.0,290,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,58,1,0,0
4,Oliver Norwood,1.3,0,0,11,0,1.3,349,1,0,1.9,17.8,90,0,0,0,0,2,1,0.0,2,46,0,0,1
5,Wilfried Zaha,3.2,0,0,18,0,8.1,141,3,1,7.9,36.4,90,0,0,0,0,3,2,34.0,7,72,1,0,2
6,Ryan Fraser,0.2,0,0,5,0,25.8,507,2,0,4.1,3.2,76,0,0,0,0,2,1,12.0,2,56,1,0,3
7,Cengiz Ünder,0.7,0,0,3,0,11.6,541,0,0,4.9,3.2,22,0,0,0,0,1,1,34.0,1,57,0,0,1
8,Hélder Wander Sousa de Azevedo e Costa,0.0,0,0,0,0,0.0,205,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,51,0,0,1
9,Jean Michaël Seri,0.0,0,0,0,0,0.0,189,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,46,0,0,0
10,Tyler Onyango,0.7,0,0,0,0,0.0,644,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
11,Dennis Praet,0.0,0,0,0,0,0.0,225,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,52,0,0,0
12,Mark Noble,0.5,0,0,3,0,0.1,427,1,0,0.0,0.2,3,0,0,0,0,3,2,0.0,1,46,0,0,1
13,Bernardo Mota Veiga de Carvalho e Silva,5.1,1,0,19,0,26.3,281,0,0,5.7,20.8,59,0,0,0,0,5,0,10.0,4,74,0,0,3
14,Jordan Henderson,1.9,0,0,14,0,1.5,244,1,0,1.4,12.0,90,0,0,0,0,3,1,0.0,2,54,0,0,2
15,Curtis Jones,1.5,0,0,3,0,1.3,263,0,0,0.4,2.6,12,0,0,0,0,3,1,0.0,1,44,0,0,4
16,Matt Ritchie,1.0,0,0,0,0,0.0,322,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,49,1,0,0
17,Teddy Jenks,0.5,0,0,0,0,0.0,631,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,1,0,0
18,Jakub Moder,0.5,0,0,0,0,0.0,628,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,50,1,0,0
19,Ivan Ricardo Neves Abreu Cavaleiro,3.3,0,0,4,1,12.7,187,0,0,5.4,5.0,78,0,0,0,0,0,0,36.0,3,53,0,0,6
20,Jesse Lingard,0.5,0,0,0,0,0.0,301,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,59,1,0,0
21,Robbie Brady,1.3,0,0,5,0,1.7,95,1,0,2.7,2.6,59,0,0,0,0,2,3,23.0,1,50,1,0,2
22,Jeff Hendrick,1.2,0,0,11,0,11.8,485,2,0,2.0,8.2,90,0,0,0,0,2,1,0.0,2,46,1,0,2
23,Mace Goodridge,-0.5,0,0,0,0,0.0,551,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,45,1,0,0
24,Youri Tielemans,8.5,0,3,33,0,28.9,228,1,1,10.2,51.8,90,0,0,0,0,1,1,21.0,10,64,0,0,2
25,Oliver Burke,1.7,0,0,20,0,0.0,424,0,1,6.7,32.0,20,0,0,0,0,2,1,35.0,6,43,0,0,2
26,Bruno Miguel Borges Fernandes,4.9,0,0,15,0,37.8,302,2,0,9.4,18.2,90,0,0,0,0,2,1,38.0,2,113,1,0,3
27,Jack Jenkins,0.0,0,0,0,0,0.0,599,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,0,0,0
28,Anthony Gordon,-0.5,0,0,0,0,0.0,168,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,43,1,0,0
29,Kevin De Bruyne,0.0,0,0,0,0,0.0,272,0,0,0.0,0.0,0,0,0,0,0,5,0,0.0,0,119,0,0,0
30,Gylfi Sigurdsson,1.5,0,0,4,0,14.5,150,0,0,1.7,2.4,5,0,0,0,0,1,1,0.0,1,68,1,0,1
31,Phil Foden,7.5,0,0,7,0,26.8,284,0,0,8.0,14.2,51,0,0,0,0,5,0,39.0,1,63,0,0,3
32,James Garner,0.0,0,0,0,0,0.0,317,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,44,1,0,0
33,Riyad Mahrez,4.9,1,1,43,1,33.2,275,0,1,14.2,57.0,90,0,0,0,0,5,0,52.0,12,81,0,0,0
34,Jake Livermore,0.0,0,0,10,0,1.2,409,5,0,3.4,11.0,90,0,0,0,0,5,0,22.0,2,47,1,0,2
35,Harrison Reed,1.5,0,0,7,1,1.3,373,0,0,1.4,12.2,65,0,0,0,0,0,0,0.0,2,44,0,1,4
36,Jeffrey Schlupp,0.0,0,0,0,0,0.0,142,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,54,1,0,0
37,Faustino Anjorin,0.5,0,0,0,0,0.0,605,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,1,0,0
38,James Rodríguez,3.2,0,2,24,0,3.0,508,1,1,5.0,39.2,84,0,0,0,0,1,1,8.0,8,77,1,1,1
39,Aboubakar Kamara,0.3,0,0,0,0,0.0,190,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,48,0,0,0
40,Vitor Ferreira,0.3,0,0,0,0,0.0,515,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,48,0,0,1
41,Gabriel Teodoro Martinelli Silva,0.7,0,0,0,0,0.0,26,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,49,0,0,1
42,Jonjo Shelvey,1.2,0,0,15,0,54.4,321,2,0,10.1,13.8,90,0,0,0,0,2,1,33.0,2,53,1,0,5
43,José Ignacio Peleteiro Romallo,0.0,0,0,0,0,0.0,34,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,59,0,0,0
44,Kgaogelo Chauke,-0.5,0,0,0,0,0.0,624,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,1,0,0
45,Jonathan Leko,0.0,0,0,0,0,0.0,420,0,0,0.0,0.0,0,0,0,0,0,5,0,0.0,0,45,1,0,0
46,Solomon March,2.7,0,0,9,1,17.3,65,0,0,7.6,18.6,90,0,0,0,0,0,0,40.0,3,50,1,0,3
47,Luka Milivojevic,2.5,0,0,11,0,2.3,138,3,0,1.4,9.2,72,0,0,0,0,3,2,2.0,2,56,1,0,3
48,Steven Alzate,0.5,0,0,0,0,0.0,79,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,43,1,0,0
49,Sadio Mané,5.5,2,2,41,0,20.3,251,1,1,18.3,62.2,90,0,0,0,0,3,1,100.0,15,118,0,0,0
50,Josh Sims,0.0,0,0,0,0,0.0,374,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,43,1,0,0
51,Facundo Pellistri,0.0,0,0,0,0,0.0,575,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,52,1,0,0
52,Nicolas Pépé,2.3,0,0,20,0,3.1,18,1,1,7.7,44.4,90,0,0,0,0,3,1,29.0,6,76,0,1,3
53,Bertrand Traoré,5.5,0,0,1,0,13.8,540,3,0,5.9,0.0,82,0,0,0,0,2,3,47.0,2,59,0,0,3
54,Sam Field,-1.5,0,0,0,0,0.0,423,0,0,0.0,0.0,0,0,0,0,0,5,0,0.0,0,48,1,0,0
55,Stefan Johansen,0.0,0,0,0,0,0.0,174,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,47,0,0,0
56,Josh Benson,-0.5,0,0,0,0,0.0,535,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,45,1,0,0
57,William Smallbone,0.0,0,0,0,0,0.0,379,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,44,1,0,0
58,Granit Xhaka,4.0,1,0,31,0,29.6,9,1,0,5.9,29.0,90,0,0,0,0,3,1,0.0,5,52,0,0,3
59,Jacob Ramsey,1.3,0,0,0,0,0.0,554,0,0,0.0,0.0,0,0,0,0,0,2,3,0.0,0,45,0,0,0
60,Georginio Wijnaldum,2.5,0,0,16,0,5.1,243,1,0,1.4,7.8,90,0,0,0,0,3,1,1.0,2,53,0,0,9
61,Adam Lallana,0.3,0,0,0,0,0.0,54,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,62,1,0,1
62,Josh Onomah,0.0,0,0,0,0,0.0,188,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,46,0,0,0
63,Pablo Hernández Domínguez,0.7,0,0,0,0,0.0,193,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,57,0,0,0
64,Bukayo Saka,8.7,1,3,39,0,26.8,24,1,1,9.9,53.6,90,0,0,0,0,3,1,19.0,13,53,0,0,0
65,Mohamed Salah,2.7,0,0,12,0,28.8,254,1,0,5.6,5.0,90,0,0,0,0,3,1,22.0,2,125,0,0,15
66,Luke Freeman,0.0,0,0,0,0,0.0,477,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,50,0,0,0
67,Jack Cork,-0.3,0,0,3,0,11.1,84,1,0,1.6,4.8,45,0,0,0,0,2,3,0.0,1,50,1,0,2
68,Harry Winks,0.7,0,0,8,0,2.0,397,2,0,0.6,4.4,45,0,0,0,0,3,1,0.0,1,52,1,0,0
69,Alexandre Jankewitz,0.7,0,0,0,0,0.0,643,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,1,0,1
70,Johann Berg Gudmundsson,0.7,0,0,2,0,0.4,90,1,0,0.4,4.0,30,0,0,0,0,2,3,0.0,1,54,1,0,1
71,Manuel Lanzini,1.0,0,0,0,0,0.0,439,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,64,0,0,0
72,Tanguy Ndombele,3.5,0,0,15,0,7.4,405,3,0,1.9,9.4,90,0,0,0,0,3,1,2.0,2,59,1,0,2
73,Amad Diallo,2.5,0,0,0,0,0.0,640,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,55,1,0,0
74,Willian Borges Da Silva,1.3,0,0,4,0,1.5,478,0,0,0.6,4.0,18,0,0,0,0,3,1,0.0,1,75,0,0,1
75,Rekeem Harper,0.0,0,0,0,0,0.0,426,0,0,0.0,0.0,0,0,0,0,0,5,0,0.0,0,43,1,0,0
76,Jarrod Bowen,4.5,1,0,17,0,20.4,445,1,0,5.2,23.4,80,0,0,0,0,3,2,8.0,5,63,0,0,2
77,Cole Palmer,0.4,0,0,0,0,0.0,552,0,0,0.0,0.0,0,0,0,0,0,5,0,0.0,0,44,0,0,0
78,Matthew Longstaff,1.2,0,0,0,0,0.0,487,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,49,1,0,0
79,Meritan Shabani,-0.5,0,0,0,0,0.0,553,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,44,0,0,0
80,Jordan Stevens,0.0,0,0,0,0,0.0,212,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,43,0,0,0
81,Declan Rice,2.5,0,0,21,0,18.1,448,2,0,4.4,21.4,90,0,0,0,0,3,2,4.0,2,48,0,0,1
82,Emile Smith Rowe,5.5,0,0,11,0,5.8,23,1,0,3.1,7.4,71,0,0,0,0,3,1,18.0,2,45,0,0,3
83,Will Ferry,-0.5,0,0,0,0,0.0,634,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,1,0,0
84,Abdoulaye Doucouré,0.0,0,0,0,0,0.0,512,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,52,1,0,2
85,Owen Otasowie,-0.3,0,0,0,0,0.0,581,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,0,0,0
86,Adam Forshaw,0.0,0,0,0,0,0.0,199,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,48,0,0,0
87,Jacob Murphy,1.3,0,0,7,0,15.3,497,2,0,3.0,2.4,63,0,0,0,0,2,1,12.0,2,49,1,0,0
88,Davy Pröpper,1.7,0,0,5,0,0.3,59,0,0,0.3,2.2,7,0,0,0,0,0,0,0.0,1,48,1,0,0
89,Thomas Partey,2.7,0,0,8,0,2.5,567,1,0,1.8,15.2,77,0,0,0,0,3,1,0.0,2,49,0,0,3
90,Pablo Fornals,3.5,0,0,17,0,46.7,450,2,0,8.8,22.2,90,0,0,0,0,3,2,19.0,2,61,0,0,2
91,Jayson Molumby,0.0,0,0,0,0,0.0,550,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,1,0,0
92,Mateo Kovacic,2.5,0,0,19,1,33.7,107,0,0,6.4,29.6,90,0,0,0,0,0,0,1.0,3,53,1,0,3
93,Takumi Minamino,0.7,0,0,0,0,0.0,258,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,60,0,0,0
94,Sofiane Boufal,0.0,0,0,0,0,0.0,372,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,54,1,0,0
95,Isaac Hayden,1.2,0,0,13,0,11.0,336,2,0,2.5,14.0,90,0,0,0,0,2,1,0.0,2,47,1,0,3
96,Mateusz Klich,1.7,0,0,3,0,1.0,198,1,0,2.5,6.0,34,0,0,0,0,2,1,18.0,1,54,0,0,2
97,Brandon Pierrick,0.0,0,0,0,0,0.0,147,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,43,1,0,0
98,John Lundstram,2.0,1,2,25,0,22.7,355,1,0,5.4,31.2,90,0,0,0,0,2,1,0.0,6,49,0,1,2
99,Mohamed Naser El Sayed Elneny,1.0,0,0,4,0,10.0,526,0,0,1.2,2.2,12,0,0,0,0,3,1,0.0,1,44,0,0,0
100,Nampalys Mendy,0.7,0,0,8,0,1.9,518,0,0,0.7,3.6,48,0,0,0,0,1,1,1.0,1,44,0,0,2
101,John Fleck,3.3,1,0,17,0,29.6,346,1,0,6.5,33.0,90,0,0,0,0,2,1,2.0,5,56,0,0,2
102,Reiss Nelson,0.5,0,0,0,0,0.0,21,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,51,0,0,0
103,Wilfred Ndidi,4.7,0,0,5,0,1.5,236,1,0,1.2,10.4,41,0,0,0,0,1,1,0.0,1,48,0,0,0
104,Max Sanders,0.5,0,0,0,0,0.0,632,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,1,0,0
105,Ashley Westwood,2.3,1,0,26,0,31.3,89,2,0,6.7,33.8,90,0,0,0,0,2,3,2.0,5,53,1,0,1
106,Bernard Anício Caldeira Duarte,0.5,0,0,0,0,0.0,154,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,57,1,0,0
107,Percy Tau,1.5,0,0,0,0,0.0,627,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,55,1,0,0
108,Rúben Diogo da Silva Neves,4.7,0,0,11,1,0.4,466,0,0,1.5,14.0,90,0,0,0,0,0,0,1.0,3,52,0,0,0
109,Gareth Bale,-0.3,0,0,2,0,0.6,543,0,0,0.0,0.0,9,0,0,0,0,3,1,0.0,1,93,1,0,2
110,Ross Barkley,2.5,0,0,12,0,28.3,106,3,0,3.7,3.0,82,0,0,0,0,2,3,6.0,2,59,0,0,8
111,Paul Pogba,6.5,0,0,18,0,17.3,296,2,0,4.1,19.8,90,0,0,0,0,2,1,4.0,2,77,1,0,2
112,Harry Wilson,0.0,0,0,0,0,0.0,257,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,51,0,0,0
113,Leighton Clarkson,0.5,0,0,0,0,0.0,601,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,0,0,0
114,Reda Khadra,0.8,0,0,0,0,0.0,630,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,1,0,0
