,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Ibrahima Diallo,0.7,0,0,-7,0,0.1,565,2,0,0.0,0.0,11,0,0,0,0,4,3,0.0,0,45,0,1,0
1,Felipe Anderson Pereira Gomes,0.0,0,0,0,0,0.0,440,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,62,0,0,0
2,Raheem Sterling,6.3,0,0,17,1,18.3,276,0,0,8.2,9.8,90,0,0,0,0,1,0,54.0,3,116,0,0,1
3,Juan Mata,1.5,0,0,0,0,0.0,290,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,59,1,0,2
4,Oliver Norwood,-0.2,0,0,2,0,0.5,349,0,0,0.7,6.6,25,0,0,0,0,1,0,0.0,1,48,1,0,2
5,Wilfried Zaha,7.2,0,0,3,0,18.9,141,2,0,5.2,3.2,90,0,0,0,0,0,2,30.0,1,73,0,1,5
6,Ryan Fraser,2.2,1,0,12,0,4.3,507,1,0,1.0,1.2,16,0,0,0,0,1,2,4.0,4,58,1,0,0
7,Cengiz Ünder,2.7,1,0,19,0,20.8,541,0,0,4.4,21.2,19,0,0,0,0,4,1,2.0,4,59,0,0,0
8,Hélder Wander Sousa de Azevedo e Costa,2.8,0,0,7,0,13.6,205,4,0,2.7,7.2,90,0,0,0,0,4,1,6.0,2,57,1,0,-1
9,Jean Michaël Seri,0.0,0,0,0,0,0.0,189,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,47,1,0,0
10,Dennis Praet,2.0,0,0,8,0,3.6,225,1,0,1.4,6.4,62,0,0,0,0,4,1,4.0,2,55,0,0,6
11,Mark Noble,-0.8,0,0,0,0,0.0,427,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,48,0,0,0
12,Bernardo Mota Veiga de Carvalho e Silva,3.7,0,0,15,1,9.3,281,0,0,3.7,10.2,90,0,0,0,0,1,0,17.0,3,74,0,0,1
13,Jordan Henderson,2.5,0,0,12,0,9.3,244,1,0,2.6,15.2,90,0,0,0,0,1,2,1.0,2,54,1,0,2
