,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Ibrahima Diallo,0.7,0,0,0,0,0.0,565,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,1,0,3
1,Felipe Anderson Pereira Gomes,0.0,0,0,0,0,0.0,440,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,61,0,0,0
2,Juan Mata,1.3,0,0,0,0,0.0,290,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,59,1,0,0
3,Oliver Norwood,1.0,0,0,10,0,15.8,349,0,0,2.0,4.4,23,0,0,0,0,0,1,0.0,1,46,0,0,1
4,Wilfried Zaha,4.8,0,0,16,0,4.0,141,1,1,6.3,36.4,90,0,0,0,0,1,1,23.0,7,75,1,0,3
5,Ryan Fraser,0.1,0,0,0,0,0.0,507,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,56,1,0,0
6,Cengiz Ünder,0.6,0,0,0,0,0.0,541,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,58,0,0,0
7,Hélder Wander Sousa de Azevedo e Costa,0.8,0,0,2,0,0.5,205,0,0,0.5,2.0,9,0,0,0,0,5,0,2.0,1,52,0,0,0
8,Dennis Praet,1.3,0,0,12,0,16.8,225,1,0,3.9,5.8,65,0,0,0,0,1,1,16.0,2,53,0,0,0
9,Mark Noble,0.5,0,0,0,0,0.0,427,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,46,0,0,0
10,Jordan Henderson,5.7,0,0,13,1,18.2,244,0,0,3.1,12.2,90,0,0,0,0,0,0,1.0,3,54,0,0,2
11,Curtis Jones,3.0,0,0,9,1,4.0,263,0,0,0.9,3.4,67,0,0,0,0,0,0,2.0,3,44,0,0,0
12,Matt Ritchie,0.2,0,0,17,1,33.7,322,0,0,5.4,18.4,85,0,0,0,0,0,0,2.0,3,49,1,0,2
13,Jesse Lingard,0.5,0,0,0,0,0.0,301,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,59,1,0,0
14,Jeff Hendrick,0.3,0,0,0,0,0.0,485,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,47,1,0,0
