,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Ibrahima Diallo,0.3,0,0,4,0,0.0,565,0,0,0.1,1.0,1,0,0,0,0,1,1,0.0,1,45,0,0,1
1,Felipe Anderson Pereira Gomes,0.0,0,0,0,0,0.0,440,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,61,0,0,0
2,Raheem Sterling,1.7,0,0,2,0,11.0,276,0,0,1.8,0.0,18,0,0,0,0,0,2,7.0,1,115,0,0,0
3,Juan Mata,3.7,1,0,19,1,17.9,290,0,0,2.6,2.2,62,0,0,0,0,0,1,6.0,6,59,1,0,0
4,Oliver Norwood,1.7,0,0,12,0,3.3,349,1,0,1.5,12.0,64,0,0,0,0,1,0,0.0,2,47,1,0,0
5,Wilfried Zaha,2.5,0,0,0,0,0.0,141,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,74,0,0,0
6,Ryan Fraser,0.0,0,0,0,0,0.0,507,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,57,1,0,0
7,Cengiz Ünder,1.2,0,0,3,0,6.1,541,1,0,1.8,3.6,28,0,0,0,0,0,3,8.0,1,59,0,0,1
8,Hélder Wander Sousa de Azevedo e Costa,-0.2,0,0,0,0,0.0,205,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,56,1,0,1
9,Jean Michaël Seri,0.0,0,0,0,0,0.0,189,0,0,0.0,0.0,0,0,0,0,0,3,2,0.0,0,46,1,0,0
10,Dennis Praet,2.5,0,0,7,0,12.7,225,1,0,2.8,10.8,28,0,0,0,0,0,3,4.0,1,55,0,0,1
11,Mark Noble,0.2,0,0,2,0,0.3,427,0,0,0.0,0.0,1,0,0,0,0,1,0,0.0,1,47,0,0,1
12,Bernardo Mota Veiga de Carvalho e Silva,2.5,0,0,9,0,4.9,281,2,0,1.7,1.6,71,0,0,0,0,0,2,10.0,2,74,0,0,0
13,Jordan Henderson,0.0,0,0,0,0,0.0,244,0,0,0.0,0.0,0,0,0,0,0,0,3,0.0,0,54,1,0,1
14,Curtis Jones,2.2,0,0,8,1,24.6,263,0,0,5.5,11.8,90,0,0,0,0,0,3,19.0,3,44,1,0,1
15,Matt Ritchie,-0.2,0,0,0,0,0.0,322,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,49,1,0,1
16,Ivan Ricardo Neves Abreu Cavaleiro,0.2,0,0,1,0,15.7,187,3,0,6.7,11.4,90,0,1,0,0,3,2,40.0,0,53,1,0,10
17,Jesse Lingard,0.0,0,0,0,0,0.0,301,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,59,1,0,0
18,Robbie Brady,0.5,0,0,3,0,0.1,95,0,0,0.0,0.0,16,0,0,0,0,0,1,0.0,1,50,1,0,0
19,Jeff Hendrick,0.8,0,0,0,0,0.0,485,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,49,1,0,3
20,Mace Goodridge,-0.5,0,0,0,0,0.0,551,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,45,1,0,0
21,Youri Tielemans,6.2,0,0,12,0,5.9,228,3,0,3.8,23.4,90,0,0,0,0,0,3,9.0,2,64,0,0,2
22,Oliver Burke,0.0,0,0,0,0,0.0,424,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,44,1,0,2
