,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Daniel Langley,-0.5,0,0,0,0,0.0,606,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,40,0,0,0
1,Bailey Peacock-Farrell,0.5,0,0,0,0,0.0,99,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,40,1,0,0
2,Andy Lonergan,-0.5,0,0,0,0,0.0,639,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,40,0,0,0
3,Zack Steffen,0.5,0,0,0,0,0.0,538,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,44,0,0,0
4,Fabricio Agosto Ramírez,0.5,0,0,0,0,0.0,171,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,39,1,0,0
5,Karl Darlow,1.9,0,0,17,0,0.0,325,3,0,2.5,25.2,90,0,0,0,4,1,3,0.0,2,50,0,0,0
6,Bernd Leno,1.5,0,0,17,0,0.0,8,1,0,2.1,20.6,90,0,0,0,2,1,0,0.0,2,50,1,0,2
7,Illan Meslier,8.6,0,0,13,0,0.0,213,1,0,2.6,26.2,90,1,0,0,5,0,1,0.0,1,47,0,0,3
8,Sam Johnstone,2.9,0,1,25,1,0.0,417,0,0,1.1,11.2,90,0,0,0,1,0,0,0.0,7,45,0,0,10
9,Edouard Mendy,3.9,0,0,14,0,0.0,548,1,0,0.6,6.4,90,0,0,0,0,1,1,0.0,2,51,0,0,10
10,Claudio Bravo,0.0,0,0,0,0,0.0,267,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,0,0,0
11,Matija Sarkic,0.0,0,0,0,0,0.0,472,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,44,1,0,0
12,Alphonse Areola,4.3,0,0,23,1,0.0,516,0,0,1.9,18.8,90,0,0,0,2,0,1,0.0,6,45,1,0,6
13,Jack Butland,0.0,0,0,0,0,0.0,586,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,45,0,0,0
14,Robin Olsen,0.8,0,0,0,0,0.0,573,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,45,0,0,0
15,Alisson Ramses Becker,1.3,0,0,21,0,0.0,252,2,0,2.9,29.2,90,0,0,0,4,2,0,0.0,2,59,1,0,0
16,Kamil Miazek,0.0,0,0,0,0,0.0,208,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,40,0,0,0
17,Caoimhin Kelleher,0.5,0,0,0,0,0.0,560,0,0,0.0,0.0,0,0,0,0,0,2,0,0.0,0,45,1,0,0
18,Marek Rodák,0.5,0,0,0,0,0.0,186,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,43,1,0,0
19,Joe Hart,0.0,0,0,0,0,0.0,482,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,43,0,0,0
20,Mark Gillespie,-0.5,0,0,0,0,0.0,488,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,43,0,0,0
