,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Daniel Langley,0.5,0,0,0,0,0.0,606,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,1,0,0
1,Bailey Peacock-Farrell,-0.5,0,0,0,0,0.0,99,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,40,1,0,0
2,Zack Steffen,1.0,0,0,0,0,0.0,538,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,0,0,0
3,Fabricio Agosto Ramírez,-0.5,0,0,0,0,0.0,171,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,0,0,0
4,Karl Darlow,4.0,0,0,16,0,0.0,325,1,0,3.2,31.6,90,0,0,0,4,1,1,0.0,3,50,1,0,2
5,Bernd Leno,3.5,0,0,10,0,0.0,8,2,0,0.8,8.4,90,0,0,0,1,1,2,0.0,1,50,0,0,8
6,Illan Meslier,3.7,0,0,23,0,0.0,213,6,0,6.0,60.2,90,0,0,0,8,2,6,0.0,1,46,0,0,11
7,Sam Johnstone,3.5,0,0,24,0,0.0,417,3,0,5.2,51.6,90,0,0,0,7,3,0,0.0,3,45,1,0,2
8,Edouard Mendy,4.1,0,0,20,1,0.0,548,0,0,0.4,3.6,90,0,0,0,0,0,3,0.0,6,52,1,0,2
9,Claudio Bravo,0.0,0,0,0,0,0.0,267,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,45,0,0,0
10,Matija Sarkic,0.0,0,0,0,0,0.0,472,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,44,0,0,0
11,Alphonse Areola,3.0,0,0,15,0,0.0,516,1,0,3.0,29.8,90,0,0,0,4,1,1,0.0,3,45,0,0,8
12,Jack Butland,-1.0,0,0,0,0,0.0,586,0,0,0.0,0.0,0,0,0,0,0,7,0,0.0,0,45,1,0,0
13,Robin Olsen,0.5,0,0,0,0,0.0,573,0,0,0.0,0.0,0,0,0,0,0,1,2,0.0,0,45,1,0,0
14,Alisson Ramses Becker,4.5,0,0,26,1,0.0,252,0,0,2.5,25.0,90,0,0,0,3,7,0,0.0,7,59,0,0,2
15,Kamil Miazek,0.0,0,0,0,0,0.0,208,0,0,0.0,0.0,0,0,0,0,0,2,6,0.0,0,40,0,0,0
