,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Daniel Langley,-1.0,0,0,0,0,0.0,606,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,40,1,0,0
1,Karl Darlow,2.2,0,1,28,1,0.0,325,0,0,3.1,30.6,90,0,0,0,4,0,0,0.0,8,50,1,0,1
2,Bernd Leno,3.8,0,0,26,1,0.0,8,0,0,2.0,20.2,90,0,0,0,2,1,0,0.0,6,49,0,0,7
3,Illan Meslier,4.7,0,0,25,1,0.0,213,0,0,1.0,9.8,90,0,0,0,1,5,0,0.0,6,46,0,0,2
4,Sam Johnstone,1.3,0,0,13,0,0.0,417,5,0,1.0,9.8,90,0,0,0,2,5,0,0.0,0,45,1,0,2
5,Edouard Mendy,3.2,0,0,14,0,0.0,548,1,0,1.4,14.2,90,0,0,0,1,1,1,0.0,2,52,1,0,2
6,Matija Sarkic,0.0,0,0,0,0,0.0,472,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,44,0,0,0
7,Jack Butland,-0.5,0,0,0,0,0.0,586,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
8,Alisson Ramses Becker,4.3,0,0,25,1,0.0,252,0,0,1.6,16.4,90,0,0,0,2,0,0,0.0,6,59,0,0,2
9,Kamil Miazek,0.0,0,0,0,0,0.0,208,0,0,0.0,0.0,0,0,0,0,0,5,0,0.0,0,40,0,0,0
10,Caoimhin Kelleher,2.2,0,0,0,0,0.0,560,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,45,0,0,0
11,Mark Gillespie,-1.0,0,0,0,0,0.0,488,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,44,1,0,0
12,Martin Dubravka,0.0,0,0,0,0,0.0,326,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,48,1,0,0
13,Mathew Ryan,0.0,0,0,0,0,0.0,70,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,43,1,0,0
14,Lee Grant,0.5,0,0,0,0,0.0,604,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,40,1,0,0
15,Jason Steele,-0.5,0,0,0,0,0.0,528,0,0,0.0,0.0,0,0,0,0,0,1,0,0.0,0,40,1,0,0
16,Dean Henderson,1.2,0,0,0,0,0.0,305,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,52,1,0,0
17,Willy Caballero,0.5,0,0,0,0,0.0,101,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,47,1,0,0
