,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Bailey Peacock-Farrell,-0.5,0,0,0,0,0.0,99,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,40,1,0,0
1,Zack Steffen,1.5,0,0,0,0,0.0,538,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,45,1,0,0
2,Fabricio Agosto Ramírez,-1.5,0,0,0,0,0.0,171,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,40,0,0,0
3,Bernd Leno,4.3,0,0,10,0,0.0,8,2,0,0.8,8.4,90,0,0,0,1,0,2,0.0,1,50,0,0,2
4,Illan Meslier,6.2,0,0,21,0,0.0,213,3,0,5.4,54.2,90,0,0,0,7,1,3,0.0,3,46,0,0,3
5,Sam Johnstone,4.5,0,0,12,0,0.0,417,5,0,1.4,14.2,90,0,0,0,2,5,1,0.0,0,45,1,0,2
6,Edouard Mendy,5.2,0,0,9,0,0.0,548,1,0,0.7,6.8,90,0,0,0,2,1,3,0.0,2,52,1,0,3
7,Claudio Bravo,0.0,0,0,0,0,0.0,267,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,45,1,0,0
8,Matija Sarkic,0.0,0,0,0,0,0.0,472,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,44,0,0,0
9,Alphonse Areola,0.5,0,0,16,0,0.0,516,2,0,3.4,34.2,90,0,0,0,4,0,2,0.0,2,45,0,0,3
10,Jack Butland,0.5,0,0,0,0,0.0,586,0,0,0.0,0.0,0,0,0,0,0,5,1,0.0,0,45,0,0,0
11,Robin Olsen,0.5,0,0,0,0,0.0,573,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,0,0,0
12,Alisson Ramses Becker,0.0,0,0,0,0,0.0,252,0,0,0.0,0.0,0,0,0,0,0,0,4,0.0,0,59,1,0,3
13,Kamil Miazek,0.0,0,0,0,0,0.0,208,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,40,0,0,0
14,Caoimhin Kelleher,3.3,0,0,26,1,0.0,560,0,0,2.8,28.2,90,0,0,0,3,0,4,0.0,7,45,1,0,0
15,Marek Rodák,-1.5,0,0,0,0,0.0,186,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,44,0,0,0
16,Joe Hart,0.0,0,0,0,0,0.0,482,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,44,1,0,0
17,Mathew Ryan,2.0,0,0,12,0,0.0,70,2,0,1.2,12.0,90,0,0,0,1,2,1,0.0,1,45,1,0,2
18,Lee Grant,1.5,0,0,0,0,0.0,604,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,40,0,0,0
19,Jason Steele,0.0,0,0,0,0,0.0,528,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,40,1,0,0
20,Dean Henderson,1.8,0,0,19,0,0.0,305,1,0,2.6,26.4,90,0,0,0,5,3,1,0.0,3,53,0,0,0
21,Willy Caballero,0.5,0,0,0,0,0.0,101,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,47,1,0,0
22,Francisco Casilla Cortés,-0.5,0,0,0,0,0.0,194,0,0,0.0,0.0,0,0,0,0,0,1,3,0.0,0,43,0,0,0
23,David Button,-0.5,0,0,0,0,0.0,56,0,0,0.0,0.0,0,0,0,0,0,5,1,0.0,0,40,1,0,0
24,Angus Gunn,0.0,0,0,0,0,0.0,371,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,43,0,0,0
25,David Martin,-0.5,0,0,0,0,0.0,429,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,40,1,0,0
26,Ederson Santana de Moraes,5.8,0,0,22,1,0.0,278,0,0,1.2,12.2,90,0,0,0,1,0,2,0.0,6,60,1,0,6
27,Christian Walton,0.0,0,0,0,0,0.0,503,0,0,0.0,0.0,0,0,0,0,0,2,1,0.0,0,40,1,0,0
28,Marcus Bettinelli,0.0,0,0,0,0,0.0,183,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,44,0,0,0
29,James Trafford,1.5,0,0,0,0,0.0,595,0,0,0.0,0.0,0,0,0,0,0,0,2,0.0,0,40,1,0,0
