,name,xP,assists,bonus,bps,clean_sheets,creativity,element,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,red_cards,saves,team_a_score,team_h_score,threat,total_points,value,was_home,yellow_cards,Target_Output
0,Bailey Peacock-Farrell,0.0,0,0,0,0,0.0,99,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,40,0,0,0
1,Zack Steffen,0.0,0,0,0,0,0.0,538,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
2,Fabricio Agosto Ramírez,-0.5,0,0,0,0,0.0,171,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,40,0,0,0
3,Karl Darlow,4.0,0,0,17,0,0.0,325,2,0,3.1,30.6,90,0,0,0,5,0,2,0.0,2,50,0,0,1
4,Bernd Leno,4.0,0,0,12,0,0.0,8,3,0,2.7,27.2,90,0,0,0,3,3,0,0.0,2,50,1,0,10
5,Illan Meslier,2.8,0,0,12,0,0.0,213,4,0,1.9,18.8,90,0,0,0,3,1,4,0.0,1,45,0,0,6
6,Sam Johnstone,3.5,0,0,16,0,0.0,417,1,0,3.0,30.2,90,0,0,0,4,1,0,0.0,3,45,1,0,4
7,Edouard Mendy,4.3,0,0,18,0,0.0,548,1,0,1.7,16.6,90,0,0,0,2,1,4,0.0,2,51,1,0,6
8,Claudio Bravo,0.0,0,0,0,0,0.0,267,0,0,0.0,0.0,0,0,0,0,0,1,1,0.0,0,45,1,0,0
9,Matija Sarkic,0.0,0,0,0,0,0.0,472,0,0,0.0,0.0,0,0,0,0,0,0,1,0.0,0,45,0,0,0
10,Alphonse Areola,3.5,0,0,20,0,0.0,516,1,0,4.2,42.4,90,0,0,0,6,0,1,0.0,4,45,0,0,2
11,Jack Butland,0.0,0,0,0,0,0.0,586,0,0,0.0,0.0,0,0,0,0,0,1,4,0.0,0,45,1,0,0
12,Robin Olsen,0.2,0,0,0,0,0.0,573,0,0,0.0,0.0,0,0,0,0,0,3,1,0.0,0,45,1,0,0
